camera,fname,prob
LG-Nexus-5x,img_0002a04_manip.tif,0.4799816906452179
iPhone-4s,img_001e31c_unalt.tif,0.9759361743927002
iPhone-6,img_00275cf_manip.tif,0.9977539777755737
Samsung-Galaxy-S4,img_0034113_unalt.tif,0.9999921917915344
Motorola-X,img_00344b7_unalt.tif,0.9902620911598206
Motorola-X,img_0062ce8_manip.tif,0.744246244430542
HTC-1-M7,img_00885c3_manip.tif,0.9960921406745911
HTC-1-M7,img_008a869_unalt.tif,0.9999978542327881
iPhone-4s,img_008fb06_manip.tif,0.871794581413269
LG-Nexus-5x,img_00c98af_manip.tif,0.7248657941818237
Motorola-X,img_00d0e3b_unalt.tif,0.994364321231842
Sony-NEX-7,img_00e097a_manip.tif,0.7793101072311401
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9739336967468262
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.999399721622467
iPhone-4s,img_011d3a0_manip.tif,0.9556235671043396
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.8347443342208862
Samsung-Galaxy-Note3,img_015b7e6_manip.tif,0.6759297251701355
HTC-1-M7,img_017184c_unalt.tif,0.9997129440307617
Sony-NEX-7,img_0184cda_unalt.tif,0.9997912049293518
LG-Nexus-5x,img_0197115_manip.tif,0.4487752616405487
iPhone-4s,img_020ef15_manip.tif,0.9527966976165771
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9970729351043701
HTC-1-M7,img_023b9c2_manip.tif,0.996716320514679
HTC-1-M7,img_0264c88_unalt.tif,0.9998652935028076
Sony-NEX-7,img_026bb24_manip.tif,0.705820620059967
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.9410081505775452
Samsung-Galaxy-S4,img_02f62d5_manip.tif,0.9999996423721313
iPhone-6,img_0353f58_unalt.tif,0.9999984502792358
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.8618616461753845
iPhone-4s,img_0359c73_manip.tif,0.9999659657478333
iPhone-4s,img_0390cee_unalt.tif,0.990741491317749
iPhone-6,img_03a345c_unalt.tif,1.0
Motorola-Droid-Maxx,img_03bb7cf_manip.tif,0.5292601585388184
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9999517202377319
Motorola-Droid-Maxx,img_03c7c66_manip.tif,0.9988811612129211
Motorola-X,img_03cab56_manip.tif,0.9550962448120117
iPhone-4s,img_03cc69f_manip.tif,0.9991961121559143
Samsung-Galaxy-Note3,img_03e34e4_manip.tif,1.0
Motorola-Droid-Maxx,img_03faa77_manip.tif,0.5279466509819031
Samsung-Galaxy-Note3,img_0432afe_unalt.tif,0.32881343364715576
Samsung-Galaxy-S4,img_04381dd_unalt.tif,0.9999986886978149
Samsung-Galaxy-Note3,img_0456ffb_unalt.tif,0.9975972175598145
Motorola-X,img_0477f29_unalt.tif,0.9999043941497803
Motorola-Nexus-6,img_047e000_unalt.tif,0.9999991059303284
Motorola-Nexus-6,img_04801fb_unalt.tif,0.7356951832771301
iPhone-4s,img_0480de3_unalt.tif,0.9996169209480286
iPhone-4s,img_0486f84_manip.tif,0.9974878430366516
Motorola-Droid-Maxx,img_04f3d0d_manip.tif,0.45071277022361755
Motorola-X,img_050d527_manip.tif,0.9997331500053406
Samsung-Galaxy-Note3,img_0513d3f_unalt.tif,0.999702513217926
Motorola-Droid-Maxx,img_0517193_unalt.tif,0.9999761581420898
Samsung-Galaxy-Note3,img_0519a00_manip.tif,0.9777597784996033
Samsung-Galaxy-S4,img_051d1e0_manip.tif,0.991199791431427
Sony-NEX-7,img_051f3b7_unalt.tif,0.999762773513794
Samsung-Galaxy-Note3,img_052fb4c_manip.tif,0.9972518086433411
LG-Nexus-5x,img_0561393_manip.tif,0.45848411321640015
Motorola-Nexus-6,img_058fdeb_unalt.tif,0.999993085861206
Motorola-Nexus-6,img_05a1af1_manip.tif,0.9952482581138611
iPhone-6,img_05c52d2_manip.tif,0.9999926090240479
Sony-NEX-7,img_05eb1a4_unalt.tif,0.999319851398468
iPhone-6,img_0609bc8_unalt.tif,0.9970656633377075
Samsung-Galaxy-S4,img_0616e78_unalt.tif,0.999765157699585
iPhone-4s,img_061e65b_manip.tif,0.9976348876953125
