camera,fname,prob
LG-Nexus-5x,img_0002a04_manip.tif,0.4799817204475403
iPhone-4s,img_001e31c_unalt.tif,0.975936233997345
iPhone-6,img_00275cf_manip.tif,0.9977540969848633
Samsung-Galaxy-S4,img_0034113_unalt.tif,0.9999923706054688
Motorola-X,img_00344b7_unalt.tif,0.9902621507644653
Motorola-X,img_0062ce8_manip.tif,0.7442461252212524
HTC-1-M7,img_00885c3_manip.tif,0.9960923194885254
HTC-1-M7,img_008a869_unalt.tif,0.9999978542327881
iPhone-4s,img_008fb06_manip.tif,0.8717947006225586
LG-Nexus-5x,img_00c98af_manip.tif,0.7248657941818237
Motorola-X,img_00d0e3b_unalt.tif,0.9943641424179077
Sony-NEX-7,img_00e097a_manip.tif,0.7793099284172058
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9739335775375366
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.999399721622467
iPhone-4s,img_011d3a0_manip.tif,0.9556235074996948
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.8347443342208862
Samsung-Galaxy-Note3,img_015b7e6_manip.tif,0.6759296655654907
HTC-1-M7,img_017184c_unalt.tif,0.9997128248214722
Sony-NEX-7,img_0184cda_unalt.tif,0.999791145324707
LG-Nexus-5x,img_0197115_manip.tif,0.4487752914428711
iPhone-4s,img_020ef15_manip.tif,0.9527966976165771
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9970729351043701
HTC-1-M7,img_023b9c2_manip.tif,0.9967162609100342
HTC-1-M7,img_0264c88_unalt.tif,0.9998651742935181
Sony-NEX-7,img_026bb24_manip.tif,0.7058206796646118
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.9410083293914795
Samsung-Galaxy-S4,img_02f62d5_manip.tif,0.9999995827674866
iPhone-6,img_0353f58_unalt.tif,0.9999984502792358
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.8618614673614502
iPhone-4s,img_0359c73_manip.tif,0.9999659061431885
iPhone-4s,img_0390cee_unalt.tif,0.9907413721084595
