camera,fname,prob
LG-Nexus-5x,img_0002a04_manip.tif,0.6542314291000366
iPhone-4s,img_001e31c_unalt.tif,0.9999995231628418
iPhone-6,img_00275cf_manip.tif,0.9999929666519165
Samsung-Galaxy-S4,img_0034113_unalt.tif,1.0
Motorola-X,img_00344b7_unalt.tif,0.9999996423721313
Motorola-X,img_0062ce8_manip.tif,0.7422669529914856
HTC-1-M7,img_00885c3_manip.tif,1.0
HTC-1-M7,img_008a869_unalt.tif,1.0
iPhone-4s,img_008fb06_manip.tif,0.9999867677688599
Samsung-Galaxy-Note3,img_00c98af_manip.tif,0.7354958057403564
Motorola-X,img_00d0e3b_unalt.tif,0.9999998807907104
Sony-NEX-7,img_00e097a_manip.tif,0.9999655485153198
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9856975078582764
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,1.0
iPhone-4s,img_011d3a0_manip.tif,0.9993970394134521
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.9751777648925781
Samsung-Galaxy-Note3,img_015b7e6_manip.tif,0.9792041778564453
HTC-1-M7,img_017184c_unalt.tif,1.0
Sony-NEX-7,img_0184cda_unalt.tif,1.0
LG-Nexus-5x,img_0197115_manip.tif,0.8052395582199097
iPhone-4s,img_020ef15_manip.tif,0.9474866390228271
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9999972581863403
HTC-1-M7,img_023b9c2_manip.tif,0.9998472929000854
HTC-1-M7,img_0264c88_unalt.tif,0.9999998807907104
Sony-NEX-7,img_026bb24_manip.tif,0.9999542236328125
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.9996509552001953
Samsung-Galaxy-S4,img_02f62d5_manip.tif,1.0
iPhone-6,img_0353f58_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.9977426528930664
iPhone-4s,img_0359c73_manip.tif,0.9999997615814209
iPhone-4s,img_0390cee_unalt.tif,0.9999974966049194
iPhone-6,img_03a345c_unalt.tif,1.0
Motorola-Droid-Maxx,img_03bb7cf_manip.tif,0.9933344125747681
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9999983310699463
Motorola-Droid-Maxx,img_03c7c66_manip.tif,0.9993972778320312
Motorola-X,img_03cab56_manip.tif,0.9999679327011108
iPhone-4s,img_03cc69f_manip.tif,0.9999414682388306
Samsung-Galaxy-Note3,img_03e34e4_manip.tif,1.0
Motorola-Droid-Maxx,img_03faa77_manip.tif,0.9988149404525757
Motorola-Droid-Maxx,img_0432afe_unalt.tif,0.6826144456863403
Samsung-Galaxy-S4,img_04381dd_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0456ffb_unalt.tif,1.0
Motorola-X,img_0477f29_unalt.tif,0.9999997615814209
Motorola-Nexus-6,img_047e000_unalt.tif,1.0
Motorola-Nexus-6,img_04801fb_unalt.tif,0.9987201690673828
iPhone-4s,img_0480de3_unalt.tif,0.9999996423721313
iPhone-4s,img_0486f84_manip.tif,0.9999970197677612
Motorola-Droid-Maxx,img_04f3d0d_manip.tif,0.8812305331230164
Motorola-X,img_050d527_manip.tif,1.0
Samsung-Galaxy-Note3,img_0513d3f_unalt.tif,0.9999157190322876
Motorola-Droid-Maxx,img_0517193_unalt.tif,0.999998927116394
Samsung-Galaxy-Note3,img_0519a00_manip.tif,0.9989770650863647
Samsung-Galaxy-S4,img_051d1e0_manip.tif,0.8042947053909302
Sony-NEX-7,img_051f3b7_unalt.tif,1.0
Samsung-Galaxy-Note3,img_052fb4c_manip.tif,0.999990701675415
LG-Nexus-5x,img_0561393_manip.tif,0.9311816692352295
Motorola-Nexus-6,img_058fdeb_unalt.tif,0.9999979734420776
Motorola-Nexus-6,img_05a1af1_manip.tif,0.9999781847000122
iPhone-6,img_05c52d2_manip.tif,0.999998927116394
Sony-NEX-7,img_05eb1a4_unalt.tif,0.999992847442627
iPhone-6,img_0609bc8_unalt.tif,0.9999995231628418
Samsung-Galaxy-S4,img_0616e78_unalt.tif,0.9999984502792358
iPhone-4s,img_061e65b_manip.tif,0.9999972581863403
Samsung-Galaxy-Note3,img_06435c8_unalt.tif,0.6794085502624512
Motorola-X,img_064c912_manip.tif,0.9997820258140564
Samsung-Galaxy-Note3,img_065a534_unalt.tif,1.0
HTC-1-M7,img_068c372_manip.tif,0.9999657869338989
Samsung-Galaxy-Note3,img_06a0a21_unalt.tif,0.8309941291809082
iPhone-6,img_06a4a46_unalt.tif,1.0
iPhone-4s,img_06a8da2_unalt.tif,1.0
Sony-NEX-7,img_06b9ba0_manip.tif,0.8996116518974304
iPhone-4s,img_06d0df5_manip.tif,0.999998927116394
Motorola-Droid-Maxx,img_06efe43_manip.tif,0.999968409538269
Motorola-X,img_07001c5_unalt.tif,1.0
HTC-1-M7,img_0714719_unalt.tif,0.999529242515564
Samsung-Galaxy-Note3,img_071d3e9_manip.tif,0.36449649930000305
Motorola-Droid-Maxx,img_072619c_manip.tif,0.9998694658279419
Samsung-Galaxy-S4,img_076637f_manip.tif,0.9996324777603149
Motorola-Droid-Maxx,img_076fb0d_unalt.tif,1.0
Samsung-Galaxy-Note3,img_07946c1_manip.tif,0.9999994039535522
Sony-NEX-7,img_07bb789_unalt.tif,0.9999997615814209
iPhone-6,img_07dac13_unalt.tif,1.0
Sony-NEX-7,img_080804b_unalt.tif,0.9999986886978149
iPhone-6,img_083c983_unalt.tif,0.9999998807907104
iPhone-4s,img_0850041_unalt.tif,0.9999973773956299
HTC-1-M7,img_0867a8a_unalt.tif,0.9999997615814209
iPhone-4s,img_0875b14_manip.tif,0.9994226694107056
iPhone-4s,img_0875b1c_unalt.tif,0.9996106028556824
iPhone-4s,img_08870e3_unalt.tif,1.0
Motorola-Nexus-6,img_08d62e8_manip.tif,0.9992820620536804
Sony-NEX-7,img_08f9604_manip.tif,1.0
LG-Nexus-5x,img_0907782_manip.tif,0.9983640313148499
Motorola-Nexus-6,img_0912d59_manip.tif,0.9999886751174927
Motorola-Droid-Maxx,img_09423bd_unalt.tif,0.9999996423721313
Samsung-Galaxy-Note3,img_096386d_manip.tif,0.996056318283081
LG-Nexus-5x,img_09d1836_manip.tif,0.9991039633750916
iPhone-4s,img_0a0022e_manip.tif,0.3354371190071106
LG-Nexus-5x,img_0a21bdf_manip.tif,0.33094605803489685
Motorola-X,img_0a3162a_unalt.tif,0.9999997615814209
Motorola-X,img_0a85605_unalt.tif,0.9999985694885254
Motorola-Nexus-6,img_0aaf6e4_unalt.tif,0.9748427867889404
Samsung-Galaxy-S4,img_0abb191_unalt.tif,0.9999998807907104
Motorola-Nexus-6,img_0ac09ab_manip.tif,0.9996768236160278
Motorola-Nexus-6,img_0acc754_unalt.tif,1.0
LG-Nexus-5x,img_0add779_unalt.tif,0.8107858896255493
Motorola-X,img_0ae48a7_unalt.tif,0.9999933242797852
Sony-NEX-7,img_0ae86dd_manip.tif,0.9999873638153076
iPhone-6,img_0af4522_manip.tif,0.9984140396118164
iPhone-6,img_0b1c4c6_manip.tif,0.9986158609390259
Motorola-X,img_0b38181_manip.tif,0.9999990463256836
iPhone-6,img_0b5b7b3_unalt.tif,0.9999998807907104
Samsung-Galaxy-Note3,img_0b68096_manip.tif,0.994797945022583
iPhone-6,img_0b95b66_manip.tif,0.9998799562454224
HTC-1-M7,img_0b9b529_unalt.tif,0.9999998807907104
Samsung-Galaxy-Note3,img_0ba3d8f_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0bc68cc_manip.tif,0.9999949932098389
Samsung-Galaxy-S4,img_0bdb428_unalt.tif,0.9999988079071045
Motorola-Nexus-6,img_0bdc6ce_unalt.tif,1.0
Samsung-Galaxy-S4,img_0c12a90_manip.tif,0.9999998807907104
Samsung-Galaxy-S4,img_0c5bfb7_unalt.tif,0.9999998807907104
iPhone-4s,img_0c6cd35_unalt.tif,0.9999998807907104
Motorola-Nexus-6,img_0c6d42f_manip.tif,0.9515374898910522
HTC-1-M7,img_0c983bc_manip.tif,0.9999791383743286
HTC-1-M7,img_0ca750b_unalt.tif,0.9999790191650391
Motorola-X,img_0cba754_manip.tif,1.0
iPhone-4s,img_0d14e4e_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0d1b441_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0d29390_manip.tif,0.9994893074035645
iPhone-6,img_0d5114d_manip.tif,0.9999313354492188
Motorola-Nexus-6,img_0d53904_unalt.tif,0.9999980926513672
HTC-1-M7,img_0da16b2_manip.tif,1.0
LG-Nexus-5x,img_0dac0af_unalt.tif,0.9999963045120239
HTC-1-M7,img_0e02d7c_manip.tif,0.9999983310699463
LG-Nexus-5x,img_0e0f190_unalt.tif,0.9998500347137451
Samsung-Galaxy-S4,img_0e1d30e_unalt.tif,1.0
Motorola-Nexus-6,img_0e4829b_unalt.tif,0.9999947547912598
Motorola-Nexus-6,img_0e6b33a_manip.tif,0.9969237446784973
Motorola-Droid-Maxx,img_0e7c549_unalt.tif,0.9999901056289673
Samsung-Galaxy-Note3,img_0e80fbb_manip.tif,0.9999988079071045
iPhone-6,img_0e99558_manip.tif,0.9993707537651062
Motorola-Droid-Maxx,img_0e9c690_manip.tif,0.7997171878814697
iPhone-6,img_0ea63b1_unalt.tif,0.999998927116394
Sony-NEX-7,img_0ecc615_manip.tif,0.9999990463256836
Samsung-Galaxy-S4,img_0eda398_unalt.tif,1.0
iPhone-6,img_0eed6d2_manip.tif,1.0
Sony-NEX-7,img_0ef0944_unalt.tif,1.0
Samsung-Galaxy-S4,img_0f07519_manip.tif,1.0
Sony-NEX-7,img_0f07b82_unalt.tif,1.0
Sony-NEX-7,img_0f08723_manip.tif,0.9999988079071045
iPhone-6,img_0f0b1f1_manip.tif,0.9969373941421509
iPhone-4s,img_0f2f268_unalt.tif,1.0
Motorola-X,img_0f43170_unalt.tif,0.9999850988388062
LG-Nexus-5x,img_0f62863_unalt.tif,0.9999768733978271
Sony-NEX-7,img_0f78004_unalt.tif,0.9997246861457825
HTC-1-M7,img_0f7c5d5_unalt.tif,1.0
iPhone-6,img_0f9b9d5_unalt.tif,0.9999998807907104
Motorola-Nexus-6,img_0fc0a1d_unalt.tif,0.9998844861984253
LG-Nexus-5x,img_0fcf144_unalt.tif,0.999303936958313
Motorola-Nexus-6,img_0fe1455_manip.tif,0.9344893097877502
LG-Nexus-5x,img_0ff9244_manip.tif,0.9972866773605347
iPhone-4s,img_1005bff_manip.tif,0.9987170696258545
Motorola-X,img_101ac53_unalt.tif,1.0
Samsung-Galaxy-S4,img_1038c40_manip.tif,0.9999827146530151
HTC-1-M7,img_103a8d3_manip.tif,0.9999992847442627
Motorola-Nexus-6,img_1073b1f_manip.tif,0.9847635626792908
HTC-1-M7,img_1089a72_unalt.tif,0.9999862909317017
Sony-NEX-7,img_1091b12_manip.tif,0.8550477027893066
iPhone-6,img_10b74bd_manip.tif,0.9999721050262451
LG-Nexus-5x,img_10c350e_unalt.tif,0.8445404171943665
HTC-1-M7,img_10d4985_manip.tif,0.999468982219696
Motorola-Droid-Maxx,img_110ef2c_manip.tif,0.9999998807907104
Sony-NEX-7,img_110ff97_unalt.tif,1.0
Samsung-Galaxy-S4,img_1137239_manip.tif,0.988115668296814
Samsung-Galaxy-Note3,img_113ace5_unalt.tif,0.9999964237213135
iPhone-6,img_1154cb7_manip.tif,0.7429593205451965
LG-Nexus-5x,img_11597c6_manip.tif,0.676056981086731
iPhone-6,img_116c570_unalt.tif,1.0
Samsung-Galaxy-S4,img_1190aa2_unalt.tif,1.0
Samsung-Galaxy-S4,img_119100d_unalt.tif,0.9999908208847046
iPhone-4s,img_11a4e39_manip.tif,0.9999997615814209
Motorola-Nexus-6,img_11ffca0_manip.tif,0.9998698234558105
iPhone-4s,img_120115a_unalt.tif,1.0
Samsung-Galaxy-S4,img_1209f33_manip.tif,1.0
Samsung-Galaxy-S4,img_124561f_manip.tif,1.0
iPhone-4s,img_12473ab_unalt.tif,0.9999735355377197
iPhone-6,img_129f650_unalt.tif,1.0
Samsung-Galaxy-S4,img_12bea67_unalt.tif,1.0
Sony-NEX-7,img_12e67ff_unalt.tif,0.999991774559021
Samsung-Galaxy-Note3,img_12f5de5_manip.tif,0.402670294046402
Sony-NEX-7,img_1302572_unalt.tif,1.0
Samsung-Galaxy-Note3,img_130299d_unalt.tif,1.0
Motorola-X,img_131f755_unalt.tif,1.0
Sony-NEX-7,img_132c354_unalt.tif,1.0
LG-Nexus-5x,img_1333367_manip.tif,0.8821761012077332
HTC-1-M7,img_134ecee_unalt.tif,0.9999994039535522
Samsung-Galaxy-S4,img_136bf22_unalt.tif,0.9999998807907104
iPhone-4s,img_138b862_manip.tif,0.9966394901275635
Motorola-Nexus-6,img_1398598_manip.tif,0.8263342380523682
Samsung-Galaxy-Note3,img_1399a61_unalt.tif,0.6021661758422852
Motorola-Nexus-6,img_13c2fcb_manip.tif,0.9999997615814209
iPhone-4s,img_13cb43d_manip.tif,0.9999984502792358
