camera,fname,prob
LG-Nexus-5x,img_0002a04_manip.tif,0.7581954002380371
iPhone-4s,img_001e31c_unalt.tif,0.9999995231628418
iPhone-6,img_00275cf_manip.tif,0.9999886751174927
Samsung-Galaxy-S4,img_0034113_unalt.tif,1.0
Motorola-X,img_00344b7_unalt.tif,0.9999997615814209
Motorola-X,img_0062ce8_manip.tif,0.8431189656257629
HTC-1-M7,img_00885c3_manip.tif,1.0
HTC-1-M7,img_008a869_unalt.tif,1.0
iPhone-4s,img_008fb06_manip.tif,0.9999781847000122
Samsung-Galaxy-Note3,img_00c98af_manip.tif,0.7127088904380798
Motorola-X,img_00d0e3b_unalt.tif,0.9999997615814209
Sony-NEX-7,img_00e097a_manip.tif,0.9999711513519287
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9894804954528809
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,1.0
iPhone-4s,img_011d3a0_manip.tif,0.9994485974311829
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.9711800813674927
Samsung-Galaxy-Note3,img_015b7e6_manip.tif,0.990810751914978
HTC-1-M7,img_017184c_unalt.tif,1.0
Sony-NEX-7,img_0184cda_unalt.tif,1.0
LG-Nexus-5x,img_0197115_manip.tif,0.8784900903701782
iPhone-4s,img_020ef15_manip.tif,0.8656944632530212
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9999966621398926
HTC-1-M7,img_023b9c2_manip.tif,0.9999502897262573
HTC-1-M7,img_0264c88_unalt.tif,0.9999998807907104
Sony-NEX-7,img_026bb24_manip.tif,0.9999521970748901
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.9997273087501526
Samsung-Galaxy-S4,img_02f62d5_manip.tif,1.0
iPhone-6,img_0353f58_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.9970321655273438
iPhone-4s,img_0359c73_manip.tif,0.9999996423721313
iPhone-4s,img_0390cee_unalt.tif,0.9999969005584717
iPhone-6,img_03a345c_unalt.tif,1.0
Motorola-Droid-Maxx,img_03bb7cf_manip.tif,0.9946538209915161
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9999980926513672
Motorola-Droid-Maxx,img_03c7c66_manip.tif,0.9996227025985718
Motorola-X,img_03cab56_manip.tif,0.9999682903289795
iPhone-4s,img_03cc69f_manip.tif,0.9999592304229736
Samsung-Galaxy-Note3,img_03e34e4_manip.tif,1.0
Motorola-Droid-Maxx,img_03faa77_manip.tif,0.9993125200271606
Motorola-Droid-Maxx,img_0432afe_unalt.tif,0.5742769837379456
Samsung-Galaxy-S4,img_04381dd_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0456ffb_unalt.tif,1.0
Motorola-X,img_0477f29_unalt.tif,0.9999995231628418
Motorola-Nexus-6,img_047e000_unalt.tif,1.0
Motorola-Nexus-6,img_04801fb_unalt.tif,0.9988787770271301
iPhone-4s,img_0480de3_unalt.tif,0.9999996423721313
iPhone-4s,img_0486f84_manip.tif,0.9999938011169434
Motorola-Droid-Maxx,img_04f3d0d_manip.tif,0.7762942910194397
Motorola-X,img_050d527_manip.tif,1.0
Samsung-Galaxy-Note3,img_0513d3f_unalt.tif,0.9999287128448486
Motorola-Droid-Maxx,img_0517193_unalt.tif,0.9999991655349731
Samsung-Galaxy-Note3,img_0519a00_manip.tif,0.9992390871047974
Samsung-Galaxy-S4,img_051d1e0_manip.tif,0.6938129663467407
Sony-NEX-7,img_051f3b7_unalt.tif,1.0
Samsung-Galaxy-Note3,img_052fb4c_manip.tif,0.9999874830245972
LG-Nexus-5x,img_0561393_manip.tif,0.9531713128089905
Motorola-Nexus-6,img_058fdeb_unalt.tif,0.9999983310699463
Motorola-Nexus-6,img_05a1af1_manip.tif,0.9999610185623169
iPhone-6,img_05c52d2_manip.tif,0.9999988079071045
Sony-NEX-7,img_05eb1a4_unalt.tif,0.9999943971633911
iPhone-6,img_0609bc8_unalt.tif,0.9999992847442627
Samsung-Galaxy-S4,img_0616e78_unalt.tif,0.999998927116394
iPhone-4s,img_061e65b_manip.tif,0.9999964237213135
Samsung-Galaxy-Note3,img_06435c8_unalt.tif,0.6733003258705139
Motorola-X,img_064c912_manip.tif,0.9998599290847778
Samsung-Galaxy-Note3,img_065a534_unalt.tif,1.0
HTC-1-M7,img_068c372_manip.tif,0.9999741315841675
Samsung-Galaxy-Note3,img_06a0a21_unalt.tif,0.7487767338752747
iPhone-6,img_06a4a46_unalt.tif,1.0
iPhone-4s,img_06a8da2_unalt.tif,1.0
Sony-NEX-7,img_06b9ba0_manip.tif,0.9393396973609924
iPhone-4s,img_06d0df5_manip.tif,0.9999986886978149
Motorola-Droid-Maxx,img_06efe43_manip.tif,0.9999822378158569
Motorola-X,img_07001c5_unalt.tif,1.0
HTC-1-M7,img_0714719_unalt.tif,0.9993553757667542
Samsung-Galaxy-Note3,img_071d3e9_manip.tif,0.34539732336997986
Motorola-Droid-Maxx,img_072619c_manip.tif,0.9998279809951782
Samsung-Galaxy-S4,img_076637f_manip.tif,0.9995388984680176
Motorola-Droid-Maxx,img_076fb0d_unalt.tif,1.0
Samsung-Galaxy-Note3,img_07946c1_manip.tif,0.9999995231628418
Sony-NEX-7,img_07bb789_unalt.tif,0.9999995231628418
iPhone-6,img_07dac13_unalt.tif,1.0
Sony-NEX-7,img_080804b_unalt.tif,0.999998927116394
iPhone-6,img_083c983_unalt.tif,0.9999995231628418
iPhone-4s,img_0850041_unalt.tif,0.9999949932098389
HTC-1-M7,img_0867a8a_unalt.tif,0.9999997615814209
iPhone-4s,img_0875b14_manip.tif,0.9990535378456116
iPhone-4s,img_0875b1c_unalt.tif,0.999565064907074
iPhone-4s,img_08870e3_unalt.tif,1.0
Motorola-Nexus-6,img_08d62e8_manip.tif,0.9994781613349915
Sony-NEX-7,img_08f9604_manip.tif,1.0
LG-Nexus-5x,img_0907782_manip.tif,0.9989081621170044
Motorola-Nexus-6,img_0912d59_manip.tif,0.9999865293502808
Motorola-Droid-Maxx,img_09423bd_unalt.tif,0.9999996423721313
Samsung-Galaxy-Note3,img_096386d_manip.tif,0.9932233095169067
LG-Nexus-5x,img_09d1836_manip.tif,0.9992707371711731
Sony-NEX-7,img_0a0022e_manip.tif,0.4537162780761719
LG-Nexus-5x,img_0a21bdf_manip.tif,0.39597514271736145
