fname,label,prob
img_398df1c_manip.tif,Motorola-X,0.8542827
img_141c6fd_unalt.tif,Motorola-Droid-Maxx,0.17246738
img_07dac13_unalt.tif,Motorola-X,0.21581772
img_eee5932_unalt.tif,HTC-1-M7,0.16384217
img_602aa73_manip.tif,Motorola-X,0.47880816
img_384985e_manip.tif,Sony-NEX-7,0.31311676
img_138b862_manip.tif,Motorola-Droid-Maxx,0.22900225
img_c3cf6df_unalt.tif,Sony-NEX-7,0.17189781
img_8b9e163_manip.tif,Motorola-X,0.52004117
img_79e215d_manip.tif,LG-Nexus-5x,0.20409636
img_6b082bf_manip.tif,HTC-1-M7,0.23997942
img_38a9334_manip.tif,Motorola-X,0.390634
img_b25b81e_unalt.tif,LG-Nexus-5x,0.3179231
img_03c0533_unalt.tif,HTC-1-M7,0.16354986
img_3bf0d44_unalt.tif,Samsung-Galaxy-S4,0.7984247
img_f2b9803_unalt.tif,Samsung-Galaxy-S4,0.23140144
img_52ba50e_manip.tif,Motorola-X,0.250814
img_6cfa280_manip.tif,Samsung-Galaxy-S4,0.4025397
img_d32f7ac_manip.tif,iPhone-6,0.34218657
img_2360f84_unalt.tif,Samsung-Galaxy-Note3,0.1846374
img_ac620ba_manip.tif,Samsung-Galaxy-Note3,0.15648533
img_8bda34b_manip.tif,Samsung-Galaxy-S4,0.48431796
img_9ef5eba_manip.tif,Sony-NEX-7,0.18250176
img_4032813_unalt.tif,Sony-NEX-7,0.16472128
img_4df3673_manip.tif,iPhone-6,0.42756984
img_5e88d06_unalt.tif,Samsung-Galaxy-S4,0.31628618
img_c2a0c84_unalt.tif,Motorola-Droid-Maxx,0.18222854
img_508a0bf_unalt.tif,Samsung-Galaxy-Note3,0.17489748
img_869b06d_manip.tif,Motorola-X,0.44132626
img_023b9c2_manip.tif,Motorola-Nexus-6,0.19559158
img_b90c009_unalt.tif,Motorola-Droid-Maxx,0.28892374
img_cef577b_unalt.tif,Motorola-X,0.34851465
img_22f6746_unalt.tif,LG-Nexus-5x,0.19913244
img_e58abc0_manip.tif,Samsung-Galaxy-S4,0.35288846
img_00885c3_manip.tif,Sony-NEX-7,0.42771184
img_4ede096_manip.tif,Sony-NEX-7,0.31588668
img_878e802_unalt.tif,Motorola-X,0.7654617
img_55e9efa_unalt.tif,Samsung-Galaxy-Note3,0.16255763
img_7487183_manip.tif,Motorola-X,0.65694785
img_467a3e0_manip.tif,Motorola-Droid-Maxx,0.34129265
img_4ef67b5_unalt.tif,Sony-NEX-7,0.16442077
img_d618d4f_unalt.tif,LG-Nexus-5x,0.3087642
img_a692042_manip.tif,Samsung-Galaxy-Note3,0.32322404
img_0c6cd35_unalt.tif,Motorola-Droid-Maxx,0.4208897
img_1cdb2ef_manip.tif,Motorola-Droid-Maxx,0.36425224
img_83c8990_manip.tif,Samsung-Galaxy-Note3,0.25134662
img_124561f_manip.tif,HTC-1-M7,0.32011944
img_bdd0d6d_unalt.tif,LG-Nexus-5x,0.3147833
img_e83c9d8_manip.tif,HTC-1-M7,0.31779045
img_c330a00_manip.tif,Motorola-X,0.34315303
img_b2fc8ee_unalt.tif,LG-Nexus-5x,0.28954163
img_c72eb3d_unalt.tif,Motorola-X,0.22041933
img_2c1ecb4_manip.tif,Motorola-Droid-Maxx,0.17857024
img_0519a00_manip.tif,Sony-NEX-7,0.36204213
img_465c9f7_unalt.tif,Motorola-Nexus-6,0.18728678
img_aa39291_unalt.tif,Samsung-Galaxy-S4,0.28051797
img_831a719_manip.tif,LG-Nexus-5x,0.54258865
img_b841ed4_unalt.tif,Samsung-Galaxy-Note3,0.16085488
img_d83300a_manip.tif,HTC-1-M7,0.16603042
img_ae09094_manip.tif,LG-Nexus-5x,0.2491496
img_490b339_unalt.tif,Samsung-Galaxy-Note3,0.185428
img_d08048c_manip.tif,Samsung-Galaxy-S4,0.35073632
img_241fff5_manip.tif,LG-Nexus-5x,0.21003288
img_2c61382_manip.tif,Sony-NEX-7,0.16553777
img_d27555d_unalt.tif,Samsung-Galaxy-S4,0.27739063
img_3454c93_manip.tif,HTC-1-M7,0.2292054
img_03a345c_unalt.tif,LG-Nexus-5x,0.3248535
img_1eb9d8f_manip.tif,Motorola-X,0.30956382
img_b9d156a_unalt.tif,Samsung-Galaxy-S4,0.86247075
img_5e12a0f_unalt.tif,Motorola-X,0.6904448
img_fad2ca3_manip.tif,Motorola-Droid-Maxx,0.273706
img_a40ff5d_manip.tif,Sony-NEX-7,0.16442077
img_969c428_unalt.tif,Sony-NEX-7,0.16445611
img_03cc69f_manip.tif,LG-Nexus-5x,0.19974339
img_5fc0927_unalt.tif,HTC-1-M7,0.23962907
img_59df69b_manip.tif,LG-Nexus-5x,0.22057074
img_86c0230_unalt.tif,Motorola-Nexus-6,0.1588182
img_8af5c06_manip.tif,Motorola-X,0.20767568
img_7815efc_manip.tif,Samsung-Galaxy-S4,0.3263522
img_68fa833_manip.tif,Sony-NEX-7,0.4186918
img_d412884_unalt.tif,Motorola-X,0.40936667
img_749a6e2_unalt.tif,Samsung-Galaxy-S4,0.70386475
img_493e7b8_manip.tif,Samsung-Galaxy-Note3,0.17456038
img_d051492_unalt.tif,LG-Nexus-5x,0.51690567
img_8b06202_manip.tif,HTC-1-M7,0.43887886
img_d6db46a_unalt.tif,Motorola-X,0.37540948
img_ad2ce6f_manip.tif,Motorola-X,0.68512386
img_4e771ae_manip.tif,Samsung-Galaxy-Note3,0.18279773
