camera,fname,prob
Motorola-X,img_398df1c_manip.tif,0.9609078
Samsung-Galaxy-Note3,img_141c6fd_unalt.tif,0.30105987
iPhone-6,img_07dac13_unalt.tif,0.8231477
Motorola-X,img_eee5932_unalt.tif,0.2547716
Samsung-Galaxy-S4,img_602aa73_manip.tif,0.53522515
HTC-1-M7,img_384985e_manip.tif,0.4118756
LG-Nexus-5x,img_138b862_manip.tif,0.353873
Samsung-Galaxy-Note3,img_c3cf6df_unalt.tif,0.26723167
Motorola-X,img_8b9e163_manip.tif,0.38577905
LG-Nexus-5x,img_79e215d_manip.tif,0.55033195
LG-Nexus-5x,img_6b082bf_manip.tif,0.24580835
iPhone-6,img_38a9334_manip.tif,0.42839774
HTC-1-M7,img_b25b81e_unalt.tif,0.41695225
LG-Nexus-5x,img_03c0533_unalt.tif,0.33127126
LG-Nexus-5x,img_3bf0d44_unalt.tif,0.5223986
HTC-1-M7,img_f2b9803_unalt.tif,0.80589896
iPhone-6,img_52ba50e_manip.tif,0.4625891
HTC-1-M7,img_6cfa280_manip.tif,0.30316475
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.4857141
LG-Nexus-5x,img_2360f84_unalt.tif,0.7045653
LG-Nexus-5x,img_ac620ba_manip.tif,0.6639834
Samsung-Galaxy-Note3,img_8bda34b_manip.tif,0.88444424
Samsung-Galaxy-Note3,img_9ef5eba_manip.tif,0.2579832
Sony-NEX-7,img_4032813_unalt.tif,0.21300837
Motorola-Nexus-6,img_4df3673_manip.tif,0.34609187
LG-Nexus-5x,img_5e88d06_unalt.tif,0.9277009
LG-Nexus-5x,img_c2a0c84_unalt.tif,0.28334853
HTC-1-M7,img_508a0bf_unalt.tif,0.3163474
Motorola-X,img_869b06d_manip.tif,0.40804887
iPhone-6,img_023b9c2_manip.tif,0.41610196
LG-Nexus-5x,img_b90c009_unalt.tif,0.80786073
iPhone-6,img_cef577b_unalt.tif,0.9923693
Samsung-Galaxy-Note3,img_22f6746_unalt.tif,0.29033357
HTC-1-M7,img_e58abc0_manip.tif,0.44533038
Sony-NEX-7,img_00885c3_manip.tif,0.9231129
Sony-NEX-7,img_4ede096_manip.tif,0.60321254
Motorola-X,img_878e802_unalt.tif,0.9722145
LG-Nexus-5x,img_55e9efa_unalt.tif,0.5097274
iPhone-6,img_7487183_manip.tif,0.94654125
LG-Nexus-5x,img_467a3e0_manip.tif,0.6827447
Sony-NEX-7,img_4ef67b5_unalt.tif,0.30257896
LG-Nexus-5x,img_d618d4f_unalt.tif,0.7440387
LG-Nexus-5x,img_a692042_manip.tif,0.44180793
LG-Nexus-5x,img_0c6cd35_unalt.tif,0.3555237
Motorola-X,img_1cdb2ef_manip.tif,0.30688
LG-Nexus-5x,img_83c8990_manip.tif,0.4336384
LG-Nexus-5x,img_124561f_manip.tif,0.26363185
Motorola-Nexus-6,img_bdd0d6d_unalt.tif,0.19738156
HTC-1-M7,img_e83c9d8_manip.tif,0.834183
LG-Nexus-5x,img_c330a00_manip.tif,0.5197993
HTC-1-M7,img_b2fc8ee_unalt.tif,0.6746649
HTC-1-M7,img_c72eb3d_unalt.tif,0.8544144
HTC-1-M7,img_2c1ecb4_manip.tif,0.22080845
Samsung-Galaxy-S4,img_0519a00_manip.tif,0.27294955
LG-Nexus-5x,img_465c9f7_unalt.tif,0.30505112
LG-Nexus-5x,img_aa39291_unalt.tif,0.43482327
LG-Nexus-5x,img_831a719_manip.tif,0.9535913
LG-Nexus-5x,img_b841ed4_unalt.tif,0.2849243
LG-Nexus-5x,img_d83300a_manip.tif,0.3320109
