camera,fname,prob
Motorola-X,img_398df1c_manip.tif,0.9999826
Samsung-Galaxy-Note3,img_141c6fd_unalt.tif,0.554627
iPhone-6,img_07dac13_unalt.tif,0.99886096
Motorola-Droid-Maxx,img_eee5932_unalt.tif,0.9147021
HTC-1-M7,img_602aa73_manip.tif,0.976947
Motorola-Droid-Maxx,img_384985e_manip.tif,0.9992373
LG-Nexus-5x,img_138b862_manip.tif,0.4446635
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.9995653
Motorola-X,img_8b9e163_manip.tif,0.87057215
iPhone-4s,img_79e215d_manip.tif,0.46348333
LG-Nexus-5x,img_6b082bf_manip.tif,0.66249406
iPhone-6,img_38a9334_manip.tif,0.9987532
Samsung-Galaxy-S4,img_b25b81e_unalt.tif,0.52550906
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9408353
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.9983668
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.8950153
iPhone-6,img_52ba50e_manip.tif,0.9886623
Samsung-Galaxy-S4,img_6cfa280_manip.tif,0.87004405
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.96854657
LG-Nexus-5x,img_2360f84_unalt.tif,0.9457496
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,0.9989641
Samsung-Galaxy-S4,img_8bda34b_manip.tif,0.828634
Motorola-Nexus-6,img_9ef5eba_manip.tif,0.8608552
Sony-NEX-7,img_4032813_unalt.tif,0.9778888
iPhone-4s,img_4df3673_manip.tif,0.95216995
LG-Nexus-5x,img_5e88d06_unalt.tif,0.9969606
iPhone-4s,img_c2a0c84_unalt.tif,0.7568468
iPhone-6,img_508a0bf_unalt.tif,0.7187571
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.7885481
HTC-1-M7,img_023b9c2_manip.tif,0.90246654
LG-Nexus-5x,img_b90c009_unalt.tif,0.7603987
iPhone-6,img_cef577b_unalt.tif,0.99999416
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.96228844
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.92837733
Sony-NEX-7,img_00885c3_manip.tif,0.65305513
HTC-1-M7,img_4ede096_manip.tif,0.9044648
Motorola-X,img_878e802_unalt.tif,0.9943926
HTC-1-M7,img_55e9efa_unalt.tif,0.6237145
HTC-1-M7,img_7487183_manip.tif,0.999762
Motorola-Droid-Maxx,img_467a3e0_manip.tif,0.6204797
Sony-NEX-7,img_4ef67b5_unalt.tif,0.9345621
LG-Nexus-5x,img_d618d4f_unalt.tif,0.41097584
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.82080585
iPhone-4s,img_0c6cd35_unalt.tif,0.5451619
LG-Nexus-5x,img_1cdb2ef_manip.tif,0.61341417
iPhone-6,img_83c8990_manip.tif,0.91168123
Samsung-Galaxy-S4,img_124561f_manip.tif,0.7104476
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.7799065
HTC-1-M7,img_e83c9d8_manip.tif,0.6443019
iPhone-6,img_c330a00_manip.tif,0.99832207
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.9991703
