camera,fname,prob
Motorola-X,img_398df1c_manip.tif,0.9999957
LG-Nexus-5x,img_141c6fd_unalt.tif,0.59939563
iPhone-6,img_07dac13_unalt.tif,0.9999993
iPhone-4s,img_eee5932_unalt.tif,0.42035505
HTC-1-M7,img_602aa73_manip.tif,0.9998896
Motorola-Droid-Maxx,img_384985e_manip.tif,0.9999995
LG-Nexus-5x,img_138b862_manip.tif,0.85300475
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.99997544
Motorola-X,img_8b9e163_manip.tif,0.99981254
iPhone-6,img_79e215d_manip.tif,0.65310127
Motorola-Droid-Maxx,img_6b082bf_manip.tif,0.93029195
iPhone-6,img_38a9334_manip.tif,0.99980503
Motorola-X,img_b25b81e_unalt.tif,0.95875627
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99678683
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.9999826
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9873196
iPhone-6,img_52ba50e_manip.tif,0.9998764
Motorola-X,img_6cfa280_manip.tif,0.88547903
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.9990615
LG-Nexus-5x,img_2360f84_unalt.tif,0.9969753
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,0.99999976
Motorola-X,img_8bda34b_manip.tif,0.7785953
LG-Nexus-5x,img_9ef5eba_manip.tif,0.33394364
Sony-NEX-7,img_4032813_unalt.tif,0.6955582
iPhone-4s,img_4df3673_manip.tif,0.5204568
LG-Nexus-5x,img_5e88d06_unalt.tif,0.9998272
Motorola-Nexus-6,img_c2a0c84_unalt.tif,0.9473677
iPhone-6,img_508a0bf_unalt.tif,0.9989312
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.79847914
HTC-1-M7,img_023b9c2_manip.tif,0.93951404
Motorola-Nexus-6,img_b90c009_unalt.tif,0.88395983
iPhone-6,img_cef577b_unalt.tif,0.9999969
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.9853188
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.988565
HTC-1-M7,img_00885c3_manip.tif,0.9671417
Sony-NEX-7,img_4ede096_manip.tif,0.75040436
Motorola-X,img_878e802_unalt.tif,1.0
Motorola-Droid-Maxx,img_55e9efa_unalt.tif,0.5897371
HTC-1-M7,img_7487183_manip.tif,0.9999331
Motorola-Nexus-6,img_467a3e0_manip.tif,0.8430655
Sony-NEX-7,img_4ef67b5_unalt.tif,0.83620936
Motorola-X,img_d618d4f_unalt.tif,0.99212766
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.99998844
Motorola-Nexus-6,img_0c6cd35_unalt.tif,0.6051488
Motorola-X,img_1cdb2ef_manip.tif,0.9656799
iPhone-6,img_83c8990_manip.tif,0.9524387
Samsung-Galaxy-S4,img_124561f_manip.tif,0.9693769
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.6122101
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.9990095
iPhone-6,img_c330a00_manip.tif,0.99997413
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.97306913
Sony-NEX-7,img_c72eb3d_unalt.tif,0.96164376
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.99790514
Motorola-Droid-Maxx,img_0519a00_manip.tif,0.84374803
Motorola-Droid-Maxx,img_465c9f7_unalt.tif,0.888999
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.99348176
LG-Nexus-5x,img_831a719_manip.tif,0.99285626
Samsung-Galaxy-S4,img_b841ed4_unalt.tif,0.5005001
Samsung-Galaxy-Note3,img_d83300a_manip.tif,0.924766
Motorola-Nexus-6,img_ae09094_manip.tif,0.6116559
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.99475276
HTC-1-M7,img_d08048c_manip.tif,0.99185234
Motorola-Droid-Maxx,img_241fff5_manip.tif,0.75645316
Motorola-Droid-Maxx,img_2c61382_manip.tif,0.4231477
iPhone-6,img_d27555d_unalt.tif,0.9994962
Samsung-Galaxy-S4,img_3454c93_manip.tif,0.9975727
iPhone-6,img_03a345c_unalt.tif,0.9999769
HTC-1-M7,img_1eb9d8f_manip.tif,0.95982474
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.9999881
iPhone-6,img_5e12a0f_unalt.tif,0.99997103
LG-Nexus-5x,img_fad2ca3_manip.tif,0.9679864
LG-Nexus-5x,img_a40ff5d_manip.tif,0.4314586
Samsung-Galaxy-S4,img_969c428_unalt.tif,0.97871464
Motorola-Droid-Maxx,img_03cc69f_manip.tif,0.44329932
Samsung-Galaxy-Note3,img_5fc0927_unalt.tif,0.9984384
Samsung-Galaxy-Note3,img_59df69b_manip.tif,0.8463761
LG-Nexus-5x,img_86c0230_unalt.tif,0.75841826
Motorola-Nexus-6,img_8af5c06_manip.tif,0.99961555
HTC-1-M7,img_7815efc_manip.tif,0.27951396
HTC-1-M7,img_68fa833_manip.tif,0.99678963
iPhone-6,img_d412884_unalt.tif,0.9997913
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,0.9986613
Motorola-X,img_493e7b8_manip.tif,0.58382833
HTC-1-M7,img_d051492_unalt.tif,0.9999846
Motorola-Droid-Maxx,img_8b06202_manip.tif,0.99578553
Motorola-X,img_d6db46a_unalt.tif,0.99965835
Motorola-Nexus-6,img_ad2ce6f_manip.tif,0.9879447
Motorola-Nexus-6,img_4e771ae_manip.tif,0.39128986
Motorola-Nexus-6,img_1ac7c07_unalt.tif,0.5899493
HTC-1-M7,img_c9f2d18_unalt.tif,0.81578994
HTC-1-M7,img_f051a55_unalt.tif,0.96887827
iPhone-6,img_9e53455_manip.tif,0.53837574
HTC-1-M7,img_265c7fb_unalt.tif,0.9541552
Sony-NEX-7,img_1e3967e_unalt.tif,0.9993205
Sony-NEX-7,img_948b119_manip.tif,0.9439344
HTC-1-M7,img_87672aa_manip.tif,0.99250597
Motorola-Droid-Maxx,img_d56f447_manip.tif,0.999998
Samsung-Galaxy-S4,img_5254e45_manip.tif,0.5860232
Samsung-Galaxy-S4,img_78f3a46_unalt.tif,0.99245197
HTC-1-M7,img_38de800_unalt.tif,0.9988715
Motorola-X,img_43c0c0a_unalt.tif,0.9996275
Samsung-Galaxy-S4,img_c364183_unalt.tif,0.9987931
LG-Nexus-5x,img_7d1d284_unalt.tif,0.9965289
iPhone-6,img_1b0ff49_manip.tif,0.9999994
Motorola-Droid-Maxx,img_f0237a8_manip.tif,0.999716
Motorola-Droid-Maxx,img_315d3e9_manip.tif,0.96548134
Motorola-Nexus-6,img_e247e1f_manip.tif,0.99461716
Samsung-Galaxy-Note3,img_5294c7c_unalt.tif,0.9994388
iPhone-6,img_985ce59_manip.tif,0.9999788
HTC-1-M7,img_ca3075b_manip.tif,0.6835061
Motorola-Droid-Maxx,img_c8af975_manip.tif,0.9998492
LG-Nexus-5x,img_7fcba00_manip.tif,0.5946668
Motorola-Nexus-6,img_e08ccfb_unalt.tif,0.9999981
Motorola-X,img_3428729_manip.tif,0.9181231
Motorola-X,img_3564f61_unalt.tif,0.9119988
Motorola-X,img_bd30be8_unalt.tif,0.9834508
HTC-1-M7,img_4c7e819_manip.tif,0.81577885
iPhone-6,img_2af26d1_unalt.tif,0.9998479
Motorola-Droid-Maxx,img_57a1782_manip.tif,0.51041615
Motorola-Nexus-6,img_cf9627c_manip.tif,0.95698917
Motorola-Nexus-6,img_04f3d0d_manip.tif,0.59953153
HTC-1-M7,img_f5652a7_manip.tif,0.83906174
Motorola-X,img_37066f9_manip.tif,0.99961984
Motorola-Nexus-6,img_a02f8c2_manip.tif,0.8377947
Motorola-X,img_4eb170f_manip.tif,0.99851197
Motorola-X,img_9b9944f_manip.tif,0.7966105
Motorola-X,img_ae6f9eb_unalt.tif,0.9960387
Motorola-Nexus-6,img_68dedee_manip.tif,0.9795816
Motorola-X,img_ec67b1a_manip.tif,0.71732205
Sony-NEX-7,img_c87297a_unalt.tif,0.8493971
LG-Nexus-5x,img_1fb48da_manip.tif,0.9510989
HTC-1-M7,img_28dfa3c_manip.tif,0.9977309
Samsung-Galaxy-Note3,img_e8a6683_unalt.tif,0.9999387
Motorola-Droid-Maxx,img_b193d35_manip.tif,0.9996587
Motorola-Droid-Maxx,img_a324c2c_unalt.tif,0.99943227
LG-Nexus-5x,img_4d7be4c_unalt.tif,0.3733644
Samsung-Galaxy-S4,img_308a4ca_unalt.tif,0.41096863
HTC-1-M7,img_6dbfe1c_manip.tif,0.90894353
Sony-NEX-7,img_d5cad73_unalt.tif,0.9999751
Samsung-Galaxy-Note3,img_f9a19bf_manip.tif,0.9995198
Samsung-Galaxy-S4,img_0e1d30e_unalt.tif,0.999933
iPhone-4s,img_f2c1ae9_unalt.tif,0.71783066
Motorola-Nexus-6,img_11ffca0_manip.tif,0.6299133
HTC-1-M7,img_434bf52_manip.tif,0.83226955
iPhone-6,img_3e0cb3e_unalt.tif,0.9998802
