camera,fname,prob
Motorola-X,img_398df1c_manip.tif,0.9999887
Samsung-Galaxy-Note3,img_141c6fd_unalt.tif,0.54545164
iPhone-6,img_07dac13_unalt.tif,0.9999988
iPhone-4s,img_eee5932_unalt.tif,0.47535306
HTC-1-M7,img_602aa73_manip.tif,0.99995995
Motorola-Droid-Maxx,img_384985e_manip.tif,0.99999917
LG-Nexus-5x,img_138b862_manip.tif,0.8389911
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.99998236
Motorola-X,img_8b9e163_manip.tif,0.9993844
iPhone-4s,img_79e215d_manip.tif,0.5328738
Motorola-Droid-Maxx,img_6b082bf_manip.tif,0.9294834
iPhone-6,img_38a9334_manip.tif,0.9998754
Motorola-X,img_b25b81e_unalt.tif,0.9332159
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9976005
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.999984
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9816518
iPhone-6,img_52ba50e_manip.tif,0.9997249
Motorola-X,img_6cfa280_manip.tif,0.93854994
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.9978485
LG-Nexus-5x,img_2360f84_unalt.tif,0.99765766
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,1.0
Motorola-X,img_8bda34b_manip.tif,0.54810536
Samsung-Galaxy-S4,img_9ef5eba_manip.tif,0.3532258
Sony-NEX-7,img_4032813_unalt.tif,0.6436157
iPhone-4s,img_4df3673_manip.tif,0.7226096
LG-Nexus-5x,img_5e88d06_unalt.tif,0.9998627
Motorola-Nexus-6,img_c2a0c84_unalt.tif,0.8746281
iPhone-6,img_508a0bf_unalt.tif,0.9982667
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.8742593
HTC-1-M7,img_023b9c2_manip.tif,0.9621429
Motorola-Nexus-6,img_b90c009_unalt.tif,0.9244251
iPhone-6,img_cef577b_unalt.tif,0.99999857
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.98944855
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.98337066
HTC-1-M7,img_00885c3_manip.tif,0.9722311
Sony-NEX-7,img_4ede096_manip.tif,0.97013694
Motorola-X,img_878e802_unalt.tif,0.99999964
Motorola-Droid-Maxx,img_55e9efa_unalt.tif,0.5585836
HTC-1-M7,img_7487183_manip.tif,0.9999435
Motorola-Nexus-6,img_467a3e0_manip.tif,0.9217508
Sony-NEX-7,img_4ef67b5_unalt.tif,0.94622797
Motorola-X,img_d618d4f_unalt.tif,0.99496424
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.99999404
iPhone-4s,img_0c6cd35_unalt.tif,0.52621293
Motorola-X,img_1cdb2ef_manip.tif,0.96418566
iPhone-6,img_83c8990_manip.tif,0.9737182
Samsung-Galaxy-S4,img_124561f_manip.tif,0.94573694
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.58012396
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.99831307
iPhone-6,img_c330a00_manip.tif,0.99997675
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.99597037
Sony-NEX-7,img_c72eb3d_unalt.tif,0.99388725
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.9977295
Motorola-Droid-Maxx,img_0519a00_manip.tif,0.8383505
Motorola-Droid-Maxx,img_465c9f7_unalt.tif,0.9292794
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.9881705
LG-Nexus-5x,img_831a719_manip.tif,0.9871143
Samsung-Galaxy-S4,img_b841ed4_unalt.tif,0.47400594
Samsung-Galaxy-Note3,img_d83300a_manip.tif,0.8307071
Motorola-Nexus-6,img_ae09094_manip.tif,0.6863169
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.9989594
HTC-1-M7,img_d08048c_manip.tif,0.99452364
Motorola-Droid-Maxx,img_241fff5_manip.tif,0.82113874
Motorola-Droid-Maxx,img_2c61382_manip.tif,0.50664324
iPhone-6,img_d27555d_unalt.tif,0.99977213
