camera,fname,prob
Motorola-X,img_398df1c_manip.tif,0.99999964
Samsung-Galaxy-Note3,img_141c6fd_unalt.tif,0.60677725
iPhone-6,img_07dac13_unalt.tif,0.9998691
Motorola-Droid-Maxx,img_eee5932_unalt.tif,0.76688105
HTC-1-M7,img_602aa73_manip.tif,0.99998987
Motorola-Droid-Maxx,img_384985e_manip.tif,0.99999475
Motorola-Nexus-6,img_138b862_manip.tif,0.45244685
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.99992704
Motorola-X,img_8b9e163_manip.tif,0.99350893
Motorola-Droid-Maxx,img_79e215d_manip.tif,0.40696752
LG-Nexus-5x,img_6b082bf_manip.tif,0.9752597
iPhone-6,img_38a9334_manip.tif,0.9999019
Motorola-X,img_b25b81e_unalt.tif,0.7768638
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9951841
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.9947524
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9760592
iPhone-6,img_52ba50e_manip.tif,0.99964845
Motorola-X,img_6cfa280_manip.tif,0.72086585
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.99817157
LG-Nexus-5x,img_2360f84_unalt.tif,0.99044657
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,0.9999982
Samsung-Galaxy-S4,img_8bda34b_manip.tif,0.5465693
Motorola-Nexus-6,img_9ef5eba_manip.tif,0.6718703
Sony-NEX-7,img_4032813_unalt.tif,0.9868977
iPhone-4s,img_4df3673_manip.tif,0.83644205
LG-Nexus-5x,img_5e88d06_unalt.tif,0.9999205
Motorola-Nexus-6,img_c2a0c84_unalt.tif,0.7615492
iPhone-6,img_508a0bf_unalt.tif,0.94364846
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.9298428
HTC-1-M7,img_023b9c2_manip.tif,0.723785
Motorola-Nexus-6,img_b90c009_unalt.tif,0.52582043
iPhone-6,img_cef577b_unalt.tif,0.9999993
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.99968624
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.9881749
HTC-1-M7,img_00885c3_manip.tif,0.840971
HTC-1-M7,img_4ede096_manip.tif,0.9908227
Motorola-X,img_878e802_unalt.tif,0.99999774
Samsung-Galaxy-S4,img_55e9efa_unalt.tif,0.4187352
HTC-1-M7,img_7487183_manip.tif,0.9999794
iPhone-4s,img_467a3e0_manip.tif,0.59794
Sony-NEX-7,img_4ef67b5_unalt.tif,0.9754371
Motorola-X,img_d618d4f_unalt.tif,0.6328121
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.99399817
Motorola-Droid-Maxx,img_0c6cd35_unalt.tif,0.694269
Motorola-Nexus-6,img_1cdb2ef_manip.tif,0.56956685
iPhone-6,img_83c8990_manip.tif,0.4848974
Samsung-Galaxy-S4,img_124561f_manip.tif,0.74424493
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.9995827
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.9983284
iPhone-6,img_c330a00_manip.tif,0.9997712
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.99838984
Sony-NEX-7,img_c72eb3d_unalt.tif,0.9975163
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.67406154
HTC-1-M7,img_0519a00_manip.tif,0.9535516
Motorola-X,img_465c9f7_unalt.tif,0.6565686
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.99958163
LG-Nexus-5x,img_831a719_manip.tif,0.9985682
Motorola-Nexus-6,img_b841ed4_unalt.tif,0.517282
iPhone-4s,img_d83300a_manip.tif,0.39786282
Motorola-Nexus-6,img_ae09094_manip.tif,0.73603994
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.99982446
HTC-1-M7,img_d08048c_manip.tif,0.9858643
Motorola-Droid-Maxx,img_241fff5_manip.tif,0.723877
LG-Nexus-5x,img_2c61382_manip.tif,0.6839567
iPhone-6,img_d27555d_unalt.tif,0.9997718
