camera,fname,prob
Motorola-Droid-Maxx,img_398df1c_manip.tif,0.7493683
iPhone-6,img_141c6fd_unalt.tif,0.99999213
Motorola-Droid-Maxx,img_07dac13_unalt.tif,0.99958605
Motorola-Droid-Maxx,img_eee5932_unalt.tif,0.78516823
Motorola-X,img_602aa73_manip.tif,0.999974
Motorola-Droid-Maxx,img_384985e_manip.tif,0.99835455
HTC-1-M7,img_138b862_manip.tif,0.999146
Motorola-X,img_c3cf6df_unalt.tif,0.98074037
Motorola-Droid-Maxx,img_8b9e163_manip.tif,0.87685263
LG-Nexus-5x,img_79e215d_manip.tif,0.90220135
Motorola-Nexus-6,img_6b082bf_manip.tif,0.43145522
iPhone-6,img_38a9334_manip.tif,0.99998856
Motorola-Droid-Maxx,img_b25b81e_unalt.tif,0.98062414
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99893016
Samsung-Galaxy-S4,img_3bf0d44_unalt.tif,0.9960671
iPhone-6,img_f2b9803_unalt.tif,0.90598243
Motorola-X,img_52ba50e_manip.tif,0.61930156
LG-Nexus-5x,img_6cfa280_manip.tif,0.76357347
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.99991953
Samsung-Galaxy-Note3,img_2360f84_unalt.tif,0.99998796
Motorola-X,img_ac620ba_manip.tif,0.90368754
Motorola-Nexus-6,img_8bda34b_manip.tif,0.856692
Samsung-Galaxy-S4,img_9ef5eba_manip.tif,0.57840055
Motorola-Droid-Maxx,img_4032813_unalt.tif,0.79312044
LG-Nexus-5x,img_4df3673_manip.tif,0.9977047
Motorola-Nexus-6,img_5e88d06_unalt.tif,0.7869226
iPhone-6,img_c2a0c84_unalt.tif,0.991037
iPhone-4s,img_508a0bf_unalt.tif,0.99492407
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.90193087
HTC-1-M7,img_023b9c2_manip.tif,0.9847141
LG-Nexus-5x,img_b90c009_unalt.tif,0.7791019
Motorola-Droid-Maxx,img_cef577b_unalt.tif,0.9960759
HTC-1-M7,img_22f6746_unalt.tif,0.98911536
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.964365
Sony-NEX-7,img_00885c3_manip.tif,0.6194027
HTC-1-M7,img_4ede096_manip.tif,0.46909395
Motorola-X,img_878e802_unalt.tif,0.99999464
Sony-NEX-7,img_55e9efa_unalt.tif,0.9748001
HTC-1-M7,img_7487183_manip.tif,0.9995017
Motorola-Nexus-6,img_467a3e0_manip.tif,0.95792955
iPhone-6,img_4ef67b5_unalt.tif,0.99998224
Samsung-Galaxy-Note3,img_d618d4f_unalt.tif,0.9854482
iPhone-4s,img_a692042_manip.tif,0.67608273
Motorola-X,img_0c6cd35_unalt.tif,0.94380206
Motorola-X,img_1cdb2ef_manip.tif,0.9038376
Samsung-Galaxy-S4,img_83c8990_manip.tif,0.874894
Motorola-Droid-Maxx,img_124561f_manip.tif,0.9964057
Samsung-Galaxy-S4,img_bdd0d6d_unalt.tif,0.991211
HTC-1-M7,img_e83c9d8_manip.tif,0.727231
Motorola-Droid-Maxx,img_c330a00_manip.tif,0.75063795
iPhone-6,img_b2fc8ee_unalt.tif,0.9986791
Samsung-Galaxy-S4,img_c72eb3d_unalt.tif,0.9767915
Motorola-Droid-Maxx,img_2c1ecb4_manip.tif,0.5305939
Motorola-Droid-Maxx,img_0519a00_manip.tif,0.899801
Samsung-Galaxy-S4,img_465c9f7_unalt.tif,0.991106
HTC-1-M7,img_aa39291_unalt.tif,0.7144033
LG-Nexus-5x,img_831a719_manip.tif,0.9966377
Samsung-Galaxy-Note3,img_b841ed4_unalt.tif,0.9932985
HTC-1-M7,img_d83300a_manip.tif,0.99867994
Motorola-Nexus-6,img_ae09094_manip.tif,0.92389804
Motorola-Nexus-6,img_490b339_unalt.tif,0.69541085
LG-Nexus-5x,img_d08048c_manip.tif,0.29524952
Motorola-Nexus-6,img_241fff5_manip.tif,0.99949694
iPhone-6,img_2c61382_manip.tif,0.9990398
Motorola-Droid-Maxx,img_d27555d_unalt.tif,0.9752739
Samsung-Galaxy-S4,img_3454c93_manip.tif,0.7273824
iPhone-6,img_03a345c_unalt.tif,0.9997662
Motorola-X,img_1eb9d8f_manip.tif,0.41250357
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.99999
Samsung-Galaxy-S4,img_5e12a0f_unalt.tif,0.56085384
LG-Nexus-5x,img_fad2ca3_manip.tif,0.6339656
iPhone-4s,img_a40ff5d_manip.tif,0.9291497
Motorola-Nexus-6,img_969c428_unalt.tif,0.5470838
iPhone-6,img_03cc69f_manip.tif,0.9974381
