camera,fname,prob
Motorola-Droid-Maxx,img_384985e_manip.tif,0.9998752
iPhone-6,img_07dac13_unalt.tif,0.9999974
Motorola-Droid-Maxx,img_eee5932_unalt.tif,0.8333284
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.99961615
Motorola-Nexus-6,img_138b862_manip.tif,0.59324586
HTC-1-M7,img_602aa73_manip.tif,0.9997969
Motorola-Droid-Maxx,img_141c6fd_unalt.tif,0.51609427
Motorola-X,img_398df1c_manip.tif,0.9999757
LG-Nexus-5x,img_6b082bf_manip.tif,0.93724006
Motorola-X,img_8b9e163_manip.tif,0.9754971
iPhone-4s,img_79e215d_manip.tif,0.49750617
Samsung-Galaxy-S4,img_b25b81e_unalt.tif,0.6546532
iPhone-6,img_38a9334_manip.tif,0.9999908
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99041766
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.99969935
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9960109
iPhone-6,img_52ba50e_manip.tif,0.99365634
Motorola-X,img_6cfa280_manip.tif,0.5955815
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.99985003
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,0.9999902
Motorola-X,img_8bda34b_manip.tif,0.95715034
Motorola-Nexus-6,img_9ef5eba_manip.tif,0.85018337
Motorola-Droid-Maxx,img_4032813_unalt.tif,0.7060868
LG-Nexus-5x,img_2360f84_unalt.tif,0.7538298
iPhone-4s,img_4df3673_manip.tif,0.99672747
LG-Nexus-5x,img_5e88d06_unalt.tif,0.9992514
Motorola-Nexus-6,img_c2a0c84_unalt.tif,0.6357851
iPhone-6,img_508a0bf_unalt.tif,0.9972842
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.8210431
HTC-1-M7,img_023b9c2_manip.tif,0.9329794
Motorola-Nexus-6,img_b90c009_unalt.tif,0.6292406
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.98324054
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.9720001
HTC-1-M7,img_00885c3_manip.tif,0.9902332
iPhone-6,img_cef577b_unalt.tif,0.9999982
Sony-NEX-7,img_4ede096_manip.tif,0.48941857
Motorola-Droid-Maxx,img_55e9efa_unalt.tif,0.31853047
Motorola-X,img_878e802_unalt.tif,0.9999987
HTC-1-M7,img_7487183_manip.tif,0.99954754
Sony-NEX-7,img_4ef67b5_unalt.tif,0.99733126
Motorola-X,img_d618d4f_unalt.tif,0.8641321
Motorola-Nexus-6,img_467a3e0_manip.tif,0.9030027
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.984403
Motorola-X,img_1cdb2ef_manip.tif,0.8991736
iPhone-4s,img_0c6cd35_unalt.tif,0.966656
Samsung-Galaxy-S4,img_124561f_manip.tif,0.87801117
iPhone-6,img_83c8990_manip.tif,0.54143345
iPhone-6,img_c330a00_manip.tif,0.9998996
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.9900705
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.8523024
HTC-1-M7,img_c72eb3d_unalt.tif,0.5487477
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.9936544
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.9930025
Motorola-Droid-Maxx,img_0519a00_manip.tif,0.6949207
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.991388
Motorola-Droid-Maxx,img_465c9f7_unalt.tif,0.8992035
Motorola-Nexus-6,img_b841ed4_unalt.tif,0.8655248
Motorola-Nexus-6,img_d83300a_manip.tif,0.8722266
LG-Nexus-5x,img_831a719_manip.tif,0.9989178
Motorola-Nexus-6,img_ae09094_manip.tif,0.99979967
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.995191
HTC-1-M7,img_d08048c_manip.tif,0.9990947
LG-Nexus-5x,img_2c61382_manip.tif,0.35250977
Motorola-Droid-Maxx,img_241fff5_manip.tif,0.990958
Samsung-Galaxy-S4,img_3454c93_manip.tif,0.77071923
iPhone-6,img_d27555d_unalt.tif,0.9994228
Motorola-X,img_1eb9d8f_manip.tif,0.40748292
iPhone-6,img_03a345c_unalt.tif,0.99994934
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.99999094
LG-Nexus-5x,img_fad2ca3_manip.tif,0.42199895
Samsung-Galaxy-S4,img_a40ff5d_manip.tif,0.5329153
iPhone-4s,img_03cc69f_manip.tif,0.9918391
iPhone-6,img_5e12a0f_unalt.tif,0.99996483
Samsung-Galaxy-S4,img_969c428_unalt.tif,0.6593225
Samsung-Galaxy-Note3,img_5fc0927_unalt.tif,0.978912
LG-Nexus-5x,img_59df69b_manip.tif,0.72045875
LG-Nexus-5x,img_86c0230_unalt.tif,0.6691606
Motorola-Nexus-6,img_8af5c06_manip.tif,0.99998236
Motorola-X,img_7815efc_manip.tif,0.9638036
HTC-1-M7,img_68fa833_manip.tif,0.86052024
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,0.99918026
HTC-1-M7,img_d051492_unalt.tif,0.9999465
Motorola-Droid-Maxx,img_8b06202_manip.tif,0.8752077
Samsung-Galaxy-Note3,img_493e7b8_manip.tif,0.6018851
Motorola-X,img_d6db46a_unalt.tif,0.97111434
Motorola-Nexus-6,img_4e771ae_manip.tif,0.51507246
iPhone-6,img_d412884_unalt.tif,0.9970585
iPhone-4s,img_ad2ce6f_manip.tif,0.9708864
Motorola-Nexus-6,img_1ac7c07_unalt.tif,0.9660438
