camera,fname,prob
Motorola-Droid-Maxx,img_398df1c_manip.tif,0.76955724
iPhone-6,img_141c6fd_unalt.tif,0.9999987
Motorola-Droid-Maxx,img_07dac13_unalt.tif,1.0
iPhone-4s,img_eee5932_unalt.tif,0.54127055
Motorola-X,img_602aa73_manip.tif,0.9999994
HTC-1-M7,img_384985e_manip.tif,0.999998
Motorola-Droid-Maxx,img_138b862_manip.tif,0.99999714
Motorola-X,img_c3cf6df_unalt.tif,0.99993443
iPhone-6,img_8b9e163_manip.tif,0.9497916
Motorola-Nexus-6,img_79e215d_manip.tif,0.67946434
iPhone-6,img_6b082bf_manip.tif,0.99988675
Motorola-X,img_38a9334_manip.tif,0.9989361
Motorola-Droid-Maxx,img_b25b81e_unalt.tif,0.99997854
Motorola-Droid-Maxx,img_03c0533_unalt.tif,1.0
LG-Nexus-5x,img_3bf0d44_unalt.tif,0.40493834
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.99646217
Motorola-Nexus-6,img_52ba50e_manip.tif,0.99996746
Motorola-X,img_6cfa280_manip.tif,0.5759451
LG-Nexus-5x,img_d32f7ac_manip.tif,0.99973136
Motorola-Droid-Maxx,img_2360f84_unalt.tif,0.89537364
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,1.0
Motorola-X,img_8bda34b_manip.tif,0.96265846
Sony-NEX-7,img_9ef5eba_manip.tif,0.89888984
iPhone-4s,img_4032813_unalt.tif,0.95846957
LG-Nexus-5x,img_4df3673_manip.tif,0.99997616
Motorola-Nexus-6,img_5e88d06_unalt.tif,0.95621234
iPhone-6,img_c2a0c84_unalt.tif,0.999546
Motorola-Droid-Maxx,img_508a0bf_unalt.tif,0.9991767
HTC-1-M7,img_869b06d_manip.tif,0.9995136
iPhone-6,img_023b9c2_manip.tif,0.99996495
LG-Nexus-5x,img_b90c009_unalt.tif,0.7939107
iPhone-6,img_cef577b_unalt.tif,1.0
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.97910506
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.9997898
LG-Nexus-5x,img_00885c3_manip.tif,0.89343446
HTC-1-M7,img_4ede096_manip.tif,0.8334742
HTC-1-M7,img_878e802_unalt.tif,0.9872206
Motorola-X,img_55e9efa_unalt.tif,0.9999999
HTC-1-M7,img_7487183_manip.tif,0.999997
Samsung-Galaxy-Note3,img_467a3e0_manip.tif,0.5771939
Sony-NEX-7,img_4ef67b5_unalt.tif,0.92865086
Motorola-X,img_d618d4f_unalt.tif,0.9968533
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.9999372
iPhone-6,img_0c6cd35_unalt.tif,0.9349493
Samsung-Galaxy-S4,img_1cdb2ef_manip.tif,0.98892385
Motorola-Droid-Maxx,img_83c8990_manip.tif,0.97258514
Motorola-Droid-Maxx,img_124561f_manip.tif,0.8160349
Samsung-Galaxy-S4,img_bdd0d6d_unalt.tif,0.9999716
iPhone-6,img_e83c9d8_manip.tif,0.9999455
Sony-NEX-7,img_c330a00_manip.tif,0.8869664
Motorola-X,img_b2fc8ee_unalt.tif,0.9998441
Sony-NEX-7,img_c72eb3d_unalt.tif,0.9952661
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.9471165
HTC-1-M7,img_0519a00_manip.tif,0.815947
Motorola-Droid-Maxx,img_465c9f7_unalt.tif,0.98013407
Motorola-Nexus-6,img_aa39291_unalt.tif,0.999846
Samsung-Galaxy-S4,img_831a719_manip.tif,0.6238077
LG-Nexus-5x,img_b841ed4_unalt.tif,0.96959865
Samsung-Galaxy-Note3,img_d83300a_manip.tif,0.9915876
HTC-1-M7,img_ae09094_manip.tif,0.9989925
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.9996184
Samsung-Galaxy-S4,img_d08048c_manip.tif,0.9855214
HTC-1-M7,img_241fff5_manip.tif,0.5973595
HTC-1-M7,img_2c61382_manip.tif,0.66651684
iPhone-6,img_d27555d_unalt.tif,0.9999558
iPhone-6,img_3454c93_manip.tif,0.99999905
HTC-1-M7,img_03a345c_unalt.tif,0.7173448
