camera,fname,prob
LG-Nexus-5x,img_138b862_manip.tif,0.4864867
Motorola-Droid-Maxx,img_141c6fd_unalt.tif,0.7889346
iPhone-6,img_07dac13_unalt.tif,0.99999857
iPhone-4s,img_eee5932_unalt.tif,0.47131556
Motorola-X,img_398df1c_manip.tif,0.9999995
Motorola-Droid-Maxx,img_384985e_manip.tif,0.9999976
HTC-1-M7,img_602aa73_manip.tif,0.9999982
Motorola-X,img_8b9e163_manip.tif,0.9999485
iPhone-6,img_79e215d_manip.tif,0.9684418
iPhone-6,img_38a9334_manip.tif,0.99992967
Motorola-X,img_b25b81e_unalt.tif,0.99892336
Motorola-Nexus-6,img_6b082bf_manip.tif,0.6141691
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99998176
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,1.0
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,1.0
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9960849
iPhone-6,img_52ba50e_manip.tif,0.99996376
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,1.0
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.999948
LG-Nexus-5x,img_2360f84_unalt.tif,0.9998198
Motorola-Droid-Maxx,img_9ef5eba_manip.tif,0.8868988
Motorola-X,img_6cfa280_manip.tif,0.59900445
Sony-NEX-7,img_4032813_unalt.tif,0.85967
iPhone-4s,img_4df3673_manip.tif,0.9219984
LG-Nexus-5x,img_5e88d06_unalt.tif,0.99998105
Motorola-Nexus-6,img_c2a0c84_unalt.tif,0.9582092
iPhone-6,img_508a0bf_unalt.tif,0.9995455
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.9994106
HTC-1-M7,img_023b9c2_manip.tif,0.999577
iPhone-6,img_cef577b_unalt.tif,1.0
LG-Nexus-5x,img_b90c009_unalt.tif,0.86830467
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.9834873
Motorola-X,img_8bda34b_manip.tif,0.9779268
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.9998074
HTC-1-M7,img_4ede096_manip.tif,0.80521137
LG-Nexus-5x,img_55e9efa_unalt.tif,0.93096125
Motorola-X,img_878e802_unalt.tif,1.0
HTC-1-M7,img_7487183_manip.tif,0.99999845
Sony-NEX-7,img_4ef67b5_unalt.tif,0.94359547
Samsung-Galaxy-Note3,img_467a3e0_manip.tif,0.49077994
Motorola-X,img_d618d4f_unalt.tif,0.9978655
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.9999293
Motorola-Droid-Maxx,img_0c6cd35_unalt.tif,0.97308064
Motorola-X,img_1cdb2ef_manip.tif,0.99982554
HTC-1-M7,img_00885c3_manip.tif,0.99122274
iPhone-6,img_83c8990_manip.tif,0.9409577
Samsung-Galaxy-S4,img_124561f_manip.tif,0.9895042
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.84347886
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.9999788
iPhone-6,img_c330a00_manip.tif,0.9999417
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.9170282
Sony-NEX-7,img_c72eb3d_unalt.tif,0.995398
Motorola-Droid-Maxx,img_465c9f7_unalt.tif,0.9762599
HTC-1-M7,img_0519a00_manip.tif,0.8269643
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.9845206
LG-Nexus-5x,img_831a719_manip.tif,0.9690146
Samsung-Galaxy-S4,img_b841ed4_unalt.tif,0.57219154
Motorola-Nexus-6,img_ae09094_manip.tif,0.99976856
Samsung-Galaxy-Note3,img_d83300a_manip.tif,0.98990715
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.99967647
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.9434935
HTC-1-M7,img_d08048c_manip.tif,0.9990772
HTC-1-M7,img_3454c93_manip.tif,0.69146323
LG-Nexus-5x,img_2c61382_manip.tif,0.6973834
iPhone-6,img_03a345c_unalt.tif,0.9999993
HTC-1-M7,img_241fff5_manip.tif,0.65008646
HTC-1-M7,img_1eb9d8f_manip.tif,0.65002275
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.99999964
LG-Nexus-5x,img_fad2ca3_manip.tif,0.9954405
LG-Nexus-5x,img_a40ff5d_manip.tif,0.44004253
Samsung-Galaxy-S4,img_969c428_unalt.tif,0.9998223
iPhone-6,img_5e12a0f_unalt.tif,0.99999
iPhone-4s,img_03cc69f_manip.tif,0.85144377
iPhone-6,img_d27555d_unalt.tif,0.99996734
LG-Nexus-5x,img_86c0230_unalt.tif,0.73457503
Samsung-Galaxy-Note3,img_59df69b_manip.tif,0.99299437
Motorola-Nexus-6,img_8af5c06_manip.tif,0.9999999
HTC-1-M7,img_7815efc_manip.tif,0.37210318
HTC-1-M7,img_68fa833_manip.tif,0.959135
iPhone-6,img_d412884_unalt.tif,0.99995816
Samsung-Galaxy-Note3,img_5fc0927_unalt.tif,0.9999
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,0.99983895
iPhone-6,img_493e7b8_manip.tif,0.38314852
HTC-1-M7,img_d051492_unalt.tif,0.9999995
HTC-1-M7,img_8b06202_manip.tif,0.89230144
Motorola-X,img_d6db46a_unalt.tif,0.9997557
Samsung-Galaxy-Note3,img_4e771ae_manip.tif,0.59254265
HTC-1-M7,img_f051a55_unalt.tif,0.9987324
HTC-1-M7,img_c9f2d18_unalt.tif,0.99885845
iPhone-6,img_9e53455_manip.tif,0.7611785
Motorola-Nexus-6,img_1ac7c07_unalt.tif,0.81926787
Motorola-Nexus-6,img_ad2ce6f_manip.tif,0.9986488
Sony-NEX-7,img_1e3967e_unalt.tif,0.99999917
Sony-NEX-7,img_948b119_manip.tif,0.98173654
HTC-1-M7,img_265c7fb_unalt.tif,0.9870581
HTC-1-M7,img_87672aa_manip.tif,0.99838805
Motorola-Droid-Maxx,img_d56f447_manip.tif,0.9999999
HTC-1-M7,img_5254e45_manip.tif,0.52860135
Samsung-Galaxy-S4,img_78f3a46_unalt.tif,0.9964585
Motorola-X,img_43c0c0a_unalt.tif,0.99978703
HTC-1-M7,img_38de800_unalt.tif,0.99995697
LG-Nexus-5x,img_7d1d284_unalt.tif,0.999608
Samsung-Galaxy-S4,img_c364183_unalt.tif,0.99937445
Motorola-Nexus-6,img_e247e1f_manip.tif,0.9770373
iPhone-6,img_1b0ff49_manip.tif,0.9999994
Motorola-Droid-Maxx,img_f0237a8_manip.tif,0.99991727
Motorola-Droid-Maxx,img_315d3e9_manip.tif,0.69291914
