camera,fname,prob
iPhone-6,img_07dac13_unalt.tif,0.9999981
LG-Nexus-5x,img_141c6fd_unalt.tif,0.5351083
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.9999664
Motorola-Nexus-6,img_eee5932_unalt.tif,0.66223985
Motorola-X,img_398df1c_manip.tif,0.9999813
Motorola-Droid-Maxx,img_384985e_manip.tif,0.99989915
HTC-1-M7,img_602aa73_manip.tif,0.9999583
LG-Nexus-5x,img_138b862_manip.tif,0.46397173
Motorola-X,img_8b9e163_manip.tif,0.99693066
iPhone-6,img_79e215d_manip.tif,0.97650164
LG-Nexus-5x,img_6b082bf_manip.tif,0.66438806
iPhone-6,img_38a9334_manip.tif,0.998744
Motorola-X,img_b25b81e_unalt.tif,0.96733576
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.999498
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.99996376
iPhone-6,img_52ba50e_manip.tif,0.9990376
Samsung-Galaxy-S4,img_6cfa280_manip.tif,0.83507043
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.99899715
LG-Nexus-5x,img_2360f84_unalt.tif,0.99666256
LG-Nexus-5x,img_9ef5eba_manip.tif,0.7465893
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9664198
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,1.0
Samsung-Galaxy-S4,img_8bda34b_manip.tif,0.601461
Motorola-Droid-Maxx,img_4032813_unalt.tif,0.88539165
iPhone-4s,img_4df3673_manip.tif,0.7515711
LG-Nexus-5x,img_5e88d06_unalt.tif,0.99992836
iPhone-4s,img_c2a0c84_unalt.tif,0.6155301
HTC-1-M7,img_023b9c2_manip.tif,0.8696781
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.99599236
LG-Nexus-5x,img_b90c009_unalt.tif,0.62444985
iPhone-6,img_508a0bf_unalt.tif,0.9987954
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.99215275
iPhone-6,img_cef577b_unalt.tif,0.99999976
Sony-NEX-7,img_00885c3_manip.tif,0.48774764
HTC-1-M7,img_4ede096_manip.tif,0.96324635
LG-Nexus-5x,img_55e9efa_unalt.tif,0.6166602
Motorola-X,img_878e802_unalt.tif,0.9999999
HTC-1-M7,img_7487183_manip.tif,0.9999937
Motorola-Droid-Maxx,img_22f6746_unalt.tif,0.9119223
Sony-NEX-7,img_4ef67b5_unalt.tif,0.9047756
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.9966239
Motorola-Nexus-6,img_467a3e0_manip.tif,0.99412966
iPhone-4s,img_0c6cd35_unalt.tif,0.9810129
Motorola-X,img_1cdb2ef_manip.tif,0.7900448
Motorola-X,img_d618d4f_unalt.tif,0.95606655
iPhone-6,img_83c8990_manip.tif,0.92284924
Samsung-Galaxy-S4,img_124561f_manip.tif,0.90453124
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.9719953
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.9608341
iPhone-6,img_c330a00_manip.tif,0.99997926
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.99998355
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.90401155
LG-Nexus-5x,img_465c9f7_unalt.tif,0.46200728
HTC-1-M7,img_0519a00_manip.tif,0.9801296
Sony-NEX-7,img_c72eb3d_unalt.tif,0.99991953
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.9899216
LG-Nexus-5x,img_831a719_manip.tif,0.9088618
Samsung-Galaxy-S4,img_b841ed4_unalt.tif,0.6267328
Motorola-Nexus-6,img_ae09094_manip.tif,0.99406886
Motorola-Nexus-6,img_d83300a_manip.tif,0.52839816
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.9945825
Motorola-Droid-Maxx,img_241fff5_manip.tif,0.5862612
LG-Nexus-5x,img_2c61382_manip.tif,0.56355685
HTC-1-M7,img_d08048c_manip.tif,0.98978525
Samsung-Galaxy-S4,img_3454c93_manip.tif,0.909587
iPhone-6,img_d27555d_unalt.tif,0.999972
iPhone-6,img_03a345c_unalt.tif,0.99999166
HTC-1-M7,img_1eb9d8f_manip.tif,0.945044
LG-Nexus-5x,img_fad2ca3_manip.tif,0.982427
Samsung-Galaxy-S4,img_a40ff5d_manip.tif,0.45342878
iPhone-6,img_5e12a0f_unalt.tif,0.99988115
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.9999918
Samsung-Galaxy-Note3,img_5fc0927_unalt.tif,0.99999774
iPhone-4s,img_03cc69f_manip.tif,0.70598084
Samsung-Galaxy-Note3,img_59df69b_manip.tif,0.99552673
Samsung-Galaxy-S4,img_969c428_unalt.tif,0.9307139
LG-Nexus-5x,img_86c0230_unalt.tif,0.561383
HTC-1-M7,img_68fa833_manip.tif,0.98037845
Motorola-Nexus-6,img_8af5c06_manip.tif,0.9995427
iPhone-6,img_d412884_unalt.tif,0.9995634
LG-Nexus-5x,img_7815efc_manip.tif,0.36766982
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,0.99589854
HTC-1-M7,img_8b06202_manip.tif,0.9599822
HTC-1-M7,img_d051492_unalt.tif,1.0
Motorola-Nexus-6,img_ad2ce6f_manip.tif,0.939718
Motorola-X,img_d6db46a_unalt.tif,0.9995554
iPhone-6,img_493e7b8_manip.tif,0.77831346
LG-Nexus-5x,img_4e771ae_manip.tif,0.62336147
Motorola-Nexus-6,img_1ac7c07_unalt.tif,0.9703259
HTC-1-M7,img_c9f2d18_unalt.tif,0.9473482
HTC-1-M7,img_f051a55_unalt.tif,0.9965546
LG-Nexus-5x,img_9e53455_manip.tif,0.53744566
HTC-1-M7,img_265c7fb_unalt.tif,0.9886402
Sony-NEX-7,img_1e3967e_unalt.tif,0.9999982
Sony-NEX-7,img_948b119_manip.tif,0.9993063
HTC-1-M7,img_87672aa_manip.tif,0.99972886
Samsung-Galaxy-S4,img_78f3a46_unalt.tif,0.9857965
Motorola-Droid-Maxx,img_d56f447_manip.tif,0.9999933
Samsung-Galaxy-S4,img_5254e45_manip.tif,0.70617443
HTC-1-M7,img_38de800_unalt.tif,0.99999666
Samsung-Galaxy-S4,img_c364183_unalt.tif,0.9996598
LG-Nexus-5x,img_7d1d284_unalt.tif,0.9935794
iPhone-6,img_1b0ff49_manip.tif,0.99972564
Motorola-Nexus-6,img_e247e1f_manip.tif,0.99801207
Motorola-Droid-Maxx,img_f0237a8_manip.tif,0.99969876
Motorola-Droid-Maxx,img_315d3e9_manip.tif,0.48208794
iPhone-6,img_985ce59_manip.tif,0.9999448
Samsung-Galaxy-Note3,img_5294c7c_unalt.tif,0.99976367
HTC-1-M7,img_ca3075b_manip.tif,0.9233058
Motorola-X,img_43c0c0a_unalt.tif,0.9999074
Motorola-Droid-Maxx,img_c8af975_manip.tif,0.9997652
LG-Nexus-5x,img_3428729_manip.tif,0.5768147
LG-Nexus-5x,img_7fcba00_manip.tif,0.46569532
Motorola-Nexus-6,img_e08ccfb_unalt.tif,0.9999317
Motorola-X,img_3564f61_unalt.tif,0.9698467
Motorola-X,img_bd30be8_unalt.tif,0.9735465
HTC-1-M7,img_4c7e819_manip.tif,0.58577466
iPhone-6,img_2af26d1_unalt.tif,0.9992918
HTC-1-M7,img_57a1782_manip.tif,0.99999535
