camera,fname,prob
LG-Nexus-5x,img_398df1c_manip.tif,0.56275135
Motorola-X,img_141c6fd_unalt.tif,0.99997747
LG-Nexus-5x,img_07dac13_unalt.tif,0.7241522
Motorola-Droid-Maxx,img_eee5932_unalt.tif,0.99997413
iPhone-6,img_602aa73_manip.tif,0.999998
Motorola-Nexus-6,img_384985e_manip.tif,0.63128185
Motorola-Droid-Maxx,img_138b862_manip.tif,0.9999088
HTC-1-M7,img_c3cf6df_unalt.tif,0.9999646
LG-Nexus-5x,img_8b9e163_manip.tif,0.6712214
Motorola-X,img_79e215d_manip.tif,0.9967332
iPhone-6,img_6b082bf_manip.tif,0.97305566
iPhone-6,img_38a9334_manip.tif,0.9986658
Motorola-X,img_b25b81e_unalt.tif,0.9647937
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9995689
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.9999664
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.96639454
iPhone-6,img_52ba50e_manip.tif,0.9991197
Samsung-Galaxy-S4,img_6cfa280_manip.tif,0.8225961
LG-Nexus-5x,img_d32f7ac_manip.tif,0.9983199
Motorola-Nexus-6,img_2360f84_unalt.tif,0.9993987
LG-Nexus-5x,img_ac620ba_manip.tif,0.72239655
Samsung-Galaxy-Note3,img_8bda34b_manip.tif,1.0
Samsung-Galaxy-S4,img_9ef5eba_manip.tif,0.6199537
iPhone-4s,img_4032813_unalt.tif,0.78455657
iPhone-4s,img_4df3673_manip.tif,0.60563767
Motorola-Droid-Maxx,img_5e88d06_unalt.tif,0.8789869
LG-Nexus-5x,img_c2a0c84_unalt.tif,0.9999676
iPhone-6,img_508a0bf_unalt.tif,0.99846244
HTC-1-M7,img_869b06d_manip.tif,0.8999439
Motorola-Droid-Maxx,img_023b9c2_manip.tif,0.99578226
LG-Nexus-5x,img_b90c009_unalt.tif,0.7438357
Motorola-Droid-Maxx,img_cef577b_unalt.tif,0.9061618
iPhone-6,img_22f6746_unalt.tif,0.99999976
HTC-1-M7,img_e58abc0_manip.tif,0.9662928
Sony-NEX-7,img_00885c3_manip.tif,0.4974633
Samsung-Galaxy-S4,img_4ede096_manip.tif,0.99316037
LG-Nexus-5x,img_878e802_unalt.tif,0.61284775
Motorola-X,img_55e9efa_unalt.tif,0.9999999
Sony-NEX-7,img_7487183_manip.tif,0.9430276
HTC-1-M7,img_467a3e0_manip.tif,0.999995
Motorola-Nexus-6,img_4ef67b5_unalt.tif,0.9945098
Motorola-X,img_d618d4f_unalt.tif,0.9605815
iPhone-4s,img_a692042_manip.tif,0.9839034
Motorola-X,img_0c6cd35_unalt.tif,0.7649874
Samsung-Galaxy-Note3,img_1cdb2ef_manip.tif,0.9936242
Samsung-Galaxy-S4,img_83c8990_manip.tif,0.90236896
iPhone-6,img_124561f_manip.tif,0.92444366
Motorola-Droid-Maxx,img_bdd0d6d_unalt.tif,0.8998431
iPhone-6,img_e83c9d8_manip.tif,0.9999784
