camera,fname,prob
iPhone-6,img_b25b81e_unalt.tif,0.93294287
Motorola-X,img_138b862_manip.tif,0.6847486
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.9999417
Samsung-Galaxy-Note3,img_6b082bf_manip.tif,0.42880142
iPhone-6,img_07dac13_unalt.tif,0.99655235
Motorola-X,img_79e215d_manip.tif,0.52995884
iPhone-6,img_38a9334_manip.tif,0.8616856
Motorola-X,img_398df1c_manip.tif,0.69956064
Samsung-Galaxy-Note3,img_141c6fd_unalt.tif,0.69461024
Motorola-X,img_eee5932_unalt.tif,0.9644804
HTC-1-M7,img_602aa73_manip.tif,0.99566036
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9819219
Motorola-X,img_8b9e163_manip.tif,0.91723704
Samsung-Galaxy-S4,img_384985e_manip.tif,0.52012396
Motorola-X,img_6cfa280_manip.tif,0.6385949
iPhone-6,img_52ba50e_manip.tif,0.9963463
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.99743855
LG-Nexus-5x,img_d32f7ac_manip.tif,0.5437766
LG-Nexus-5x,img_9ef5eba_manip.tif,0.6539193
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.92261446
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,0.974941
iPhone-4s,img_c2a0c84_unalt.tif,0.8723432
Motorola-X,img_4df3673_manip.tif,0.9609001
Motorola-Nexus-6,img_2360f84_unalt.tif,0.39736176
Motorola-Droid-Maxx,img_8bda34b_manip.tif,0.39215013
Motorola-Droid-Maxx,img_4032813_unalt.tif,0.5867295
LG-Nexus-5x,img_5e88d06_unalt.tif,0.4609327
iPhone-6,img_508a0bf_unalt.tif,0.9285029
Motorola-X,img_22f6746_unalt.tif,0.75705326
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.9442439
LG-Nexus-5x,img_b90c009_unalt.tif,0.61766154
LG-Nexus-5x,img_55e9efa_unalt.tif,0.77777237
HTC-1-M7,img_023b9c2_manip.tif,0.99735284
iPhone-6,img_4ede096_manip.tif,0.32324228
Motorola-X,img_d618d4f_unalt.tif,0.7731683
Sony-NEX-7,img_4ef67b5_unalt.tif,0.43441135
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.9486696
iPhone-6,img_cef577b_unalt.tif,0.9996357
HTC-1-M7,img_00885c3_manip.tif,0.93377906
Motorola-X,img_878e802_unalt.tif,0.5875415
Motorola-X,img_467a3e0_manip.tif,0.8799687
HTC-1-M7,img_7487183_manip.tif,0.998741
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.98744744
iPhone-4s,img_0c6cd35_unalt.tif,0.3068069
Motorola-X,img_83c8990_manip.tif,0.7964693
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.527625
HTC-1-M7,img_b2fc8ee_unalt.tif,0.50246114
iPhone-4s,img_1cdb2ef_manip.tif,0.67033553
Sony-NEX-7,img_c72eb3d_unalt.tif,0.6775531
Motorola-X,img_0519a00_manip.tif,0.27442926
iPhone-6,img_c330a00_manip.tif,0.99359906
Samsung-Galaxy-S4,img_124561f_manip.tif,0.78139037
Motorola-X,img_bdd0d6d_unalt.tif,0.90505564
LG-Nexus-5x,img_465c9f7_unalt.tif,0.8928922
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.9969813
LG-Nexus-5x,img_831a719_manip.tif,0.93922055
Motorola-Nexus-6,img_b841ed4_unalt.tif,0.4443791
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.9699944
Motorola-X,img_d83300a_manip.tif,0.43322188
Motorola-Nexus-6,img_ae09094_manip.tif,0.98974925
Samsung-Galaxy-Note3,img_2c61382_manip.tif,0.684768
Samsung-Galaxy-S4,img_3454c93_manip.tif,0.51336247
HTC-1-M7,img_d08048c_manip.tif,0.9810616
Samsung-Galaxy-S4,img_241fff5_manip.tif,0.5143971
Samsung-Galaxy-Note3,img_490b339_unalt.tif,0.5956939
iPhone-6,img_03a345c_unalt.tif,0.9796649
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.97270036
Samsung-Galaxy-S4,img_a40ff5d_manip.tif,0.44078133
LG-Nexus-5x,img_fad2ca3_manip.tif,0.44190392
iPhone-6,img_d27555d_unalt.tif,0.9784887
Motorola-Droid-Maxx,img_1eb9d8f_manip.tif,0.32859194
iPhone-6,img_969c428_unalt.tif,0.8245997
Motorola-X,img_03cc69f_manip.tif,0.65592563
iPhone-6,img_5fc0927_unalt.tif,0.49706104
Samsung-Galaxy-Note3,img_59df69b_manip.tif,0.9530445
iPhone-6,img_5e12a0f_unalt.tif,0.9970799
Samsung-Galaxy-Note3,img_8af5c06_manip.tif,0.76169276
Motorola-Droid-Maxx,img_86c0230_unalt.tif,0.5128986
Sony-NEX-7,img_68fa833_manip.tif,0.356636
LG-Nexus-5x,img_7815efc_manip.tif,0.5418132
iPhone-6,img_d412884_unalt.tif,0.7981942
iPhone-6,img_493e7b8_manip.tif,0.83368117
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,0.97928065
Samsung-Galaxy-Note3,img_4e771ae_manip.tif,0.46456265
Motorola-X,img_d6db46a_unalt.tif,0.8520967
HTC-1-M7,img_8b06202_manip.tif,0.95059067
LG-Nexus-5x,img_1ac7c07_unalt.tif,0.88595235
HTC-1-M7,img_f051a55_unalt.tif,0.9973283
HTC-1-M7,img_d051492_unalt.tif,0.9806105
HTC-1-M7,img_c9f2d18_unalt.tif,0.6650045
Motorola-Nexus-6,img_ad2ce6f_manip.tif,0.97689724
iPhone-6,img_9e53455_manip.tif,0.66946495
HTC-1-M7,img_265c7fb_unalt.tif,0.9918682
Motorola-Droid-Maxx,img_d56f447_manip.tif,0.99983513
Sony-NEX-7,img_1e3967e_unalt.tif,0.9371101
HTC-1-M7,img_948b119_manip.tif,0.6141855
HTC-1-M7,img_87672aa_manip.tif,0.4883118
Samsung-Galaxy-S4,img_78f3a46_unalt.tif,0.4898479
Samsung-Galaxy-S4,img_5254e45_manip.tif,0.9741002
iPhone-6,img_43c0c0a_unalt.tif,0.48596948
HTC-1-M7,img_38de800_unalt.tif,0.9970241
Sony-NEX-7,img_e247e1f_manip.tif,0.29001936
Motorola-Droid-Maxx,img_315d3e9_manip.tif,0.5426525
Samsung-Galaxy-Note3,img_7d1d284_unalt.tif,0.5724149
Samsung-Galaxy-S4,img_c364183_unalt.tif,0.6496234
Motorola-Droid-Maxx,img_f0237a8_manip.tif,0.98059237
Sony-NEX-7,img_ca3075b_manip.tif,0.5435687
iPhone-6,img_985ce59_manip.tif,0.9804335
iPhone-6,img_1b0ff49_manip.tif,0.997459
Samsung-Galaxy-Note3,img_5294c7c_unalt.tif,0.99450725
LG-Nexus-5x,img_3428729_manip.tif,0.4367886
iPhone-4s,img_7fcba00_manip.tif,0.8052144
Motorola-X,img_bd30be8_unalt.tif,0.79706633
iPhone-6,img_2af26d1_unalt.tif,0.97907263
Motorola-Nexus-6,img_e08ccfb_unalt.tif,0.9871631
Motorola-Droid-Maxx,img_c8af975_manip.tif,0.9949555
HTC-1-M7,img_4c7e819_manip.tif,0.9975452
LG-Nexus-5x,img_cf9627c_manip.tif,0.35831574
Motorola-X,img_3564f61_unalt.tif,0.5351179
Motorola-Nexus-6,img_04f3d0d_manip.tif,0.50026184
HTC-1-M7,img_f5652a7_manip.tif,0.9796515
Motorola-X,img_37066f9_manip.tif,0.66309094
Samsung-Galaxy-S4,img_9b9944f_manip.tif,0.3851965
HTC-1-M7,img_57a1782_manip.tif,0.5857596
