camera,fname,prob
Motorola-X,img_138b862_manip.tif,0.7847402
iPhone-6,img_07dac13_unalt.tif,0.9911071
LG-Nexus-5x,img_141c6fd_unalt.tif,0.33967614
Samsung-Galaxy-S4,img_384985e_manip.tif,0.83876723
LG-Nexus-5x,img_6b082bf_manip.tif,0.26520383
HTC-1-M7,img_602aa73_manip.tif,0.9043709
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.9998759
iPhone-6,img_38a9334_manip.tif,0.81494397
Motorola-X,img_8b9e163_manip.tif,0.6667668
Motorola-X,img_eee5932_unalt.tif,0.7606281
Motorola-Droid-Maxx,img_398df1c_manip.tif,0.7334797
Samsung-Galaxy-Note3,img_79e215d_manip.tif,0.6138647
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9597756
iPhone-6,img_b25b81e_unalt.tif,0.8107586
LG-Nexus-5x,img_6cfa280_manip.tif,0.3323729
Samsung-Galaxy-Note3,img_2360f84_unalt.tif,0.52951527
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.9763158
iPhone-6,img_52ba50e_manip.tif,0.9949653
Motorola-Nexus-6,img_ac620ba_manip.tif,0.55495
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.8943315
LG-Nexus-5x,img_9ef5eba_manip.tif,0.35688522
Motorola-Droid-Maxx,img_8bda34b_manip.tif,0.40606993
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.5771924
Motorola-Droid-Maxx,img_4032813_unalt.tif,0.38162833
iPhone-4s,img_c2a0c84_unalt.tif,0.97495323
LG-Nexus-5x,img_5e88d06_unalt.tif,0.7344469
iPhone-6,img_508a0bf_unalt.tif,0.96923095
Motorola-X,img_4df3673_manip.tif,0.9028972
LG-Nexus-5x,img_b90c009_unalt.tif,0.28898916
HTC-1-M7,img_023b9c2_manip.tif,0.9932025
Motorola-X,img_22f6746_unalt.tif,0.64937246
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.94847614
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.7285317
iPhone-6,img_cef577b_unalt.tif,0.98872465
iPhone-6,img_4ede096_manip.tif,0.32372206
HTC-1-M7,img_00885c3_manip.tif,0.97710615
Motorola-X,img_467a3e0_manip.tif,0.71936095
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.85419834
LG-Nexus-5x,img_55e9efa_unalt.tif,0.6887009
