camera,fname,prob
Motorola-X,img_138b862_manip.tif,0.7923498
LG-Nexus-5x,img_6b082bf_manip.tif,0.5268814
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.9998759
iPhone-6,img_07dac13_unalt.tif,0.9903706
Motorola-X,img_79e215d_manip.tif,0.45864204
iPhone-6,img_38a9334_manip.tif,0.9261925
Samsung-Galaxy-S4,img_384985e_manip.tif,0.88827246
Motorola-Droid-Maxx,img_398df1c_manip.tif,0.72635245
HTC-1-M7,img_602aa73_manip.tif,0.9889875
Motorola-X,img_8b9e163_manip.tif,0.6452909
Motorola-Droid-Maxx,img_141c6fd_unalt.tif,0.35308737
Motorola-X,img_eee5932_unalt.tif,0.8368986
iPhone-6,img_b25b81e_unalt.tif,0.9210794
iPhone-6,img_52ba50e_manip.tif,0.9967204
Motorola-X,img_6cfa280_manip.tif,0.50610703
Motorola-Nexus-6,img_ac620ba_manip.tif,0.53440154
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.9054343
Samsung-Galaxy-Note3,img_2360f84_unalt.tif,0.5079266
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.99305665
LG-Nexus-5x,img_9ef5eba_manip.tif,0.36424983
HTC-1-M7,img_4032813_unalt.tif,0.3817167
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.63766736
Motorola-X,img_8bda34b_manip.tif,0.37221316
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.9597756
Motorola-X,img_4df3673_manip.tif,0.89853746
iPhone-4s,img_c2a0c84_unalt.tif,0.9768074
iPhone-6,img_508a0bf_unalt.tif,0.96976805
LG-Nexus-5x,img_5e88d06_unalt.tif,0.6654541
Motorola-X,img_22f6746_unalt.tif,0.76312166
HTC-1-M7,img_023b9c2_manip.tif,0.9921936
LG-Nexus-5x,img_b90c009_unalt.tif,0.3051018
iPhone-6,img_4ede096_manip.tif,0.4148981
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.947723
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.7285317
