camera,fname,prob
Motorola-Droid-Maxx,img_141c6fd_unalt.tif,0.36490625
iPhone-6,img_07dac13_unalt.tif,0.99984944
Motorola-X,img_398df1c_manip.tif,0.799545
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,0.9999253
Motorola-Nexus-6,img_6b082bf_manip.tif,0.44029325
Motorola-Nexus-6,img_79e215d_manip.tif,0.500117
iPhone-6,img_38a9334_manip.tif,0.9555187
LG-Nexus-5x,img_138b862_manip.tif,0.35247934
Motorola-Droid-Maxx,img_eee5932_unalt.tif,0.70177275
Motorola-Droid-Maxx,img_384985e_manip.tif,0.31247532
Motorola-X,img_8b9e163_manip.tif,0.69086754
HTC-1-M7,img_602aa73_manip.tif,0.99112916
HTC-1-M7,img_b25b81e_unalt.tif,0.33998486
LG-Nexus-5x,img_9ef5eba_manip.tif,0.21292624
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,0.9741069
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99768686
Motorola-X,img_6cfa280_manip.tif,0.8924448
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,0.93616796
iPhone-6,img_52ba50e_manip.tif,0.99765915
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,0.97134906
LG-Nexus-5x,img_2360f84_unalt.tif,0.63795084
Motorola-Nexus-6,img_d32f7ac_manip.tif,0.7316963
Samsung-Galaxy-S4,img_8bda34b_manip.tif,0.55223006
Motorola-X,img_4df3673_manip.tif,0.828917
Sony-NEX-7,img_4032813_unalt.tif,0.9001803
LG-Nexus-5x,img_5e88d06_unalt.tif,0.95758027
iPhone-6,img_508a0bf_unalt.tif,0.99859965
iPhone-4s,img_c2a0c84_unalt.tif,0.98569906
LG-Nexus-5x,img_b90c009_unalt.tif,0.60887253
Motorola-Nexus-6,img_22f6746_unalt.tif,0.63820237
HTC-1-M7,img_023b9c2_manip.tif,0.99888915
Motorola-Droid-Maxx,img_869b06d_manip.tif,0.9003394
iPhone-6,img_cef577b_unalt.tif,0.9996946
HTC-1-M7,img_00885c3_manip.tif,0.99281937
Samsung-Galaxy-S4,img_e58abc0_manip.tif,0.90773684
HTC-1-M7,img_4ede096_manip.tif,0.3570835
Motorola-X,img_878e802_unalt.tif,0.99925345
Motorola-Droid-Maxx,img_55e9efa_unalt.tif,0.7114806
Motorola-X,img_d618d4f_unalt.tif,0.80175316
Sony-NEX-7,img_4ef67b5_unalt.tif,0.28989163
Motorola-X,img_467a3e0_manip.tif,0.7481531
Samsung-Galaxy-Note3,img_a692042_manip.tif,0.98380864
HTC-1-M7,img_7487183_manip.tif,0.9957133
Motorola-X,img_1cdb2ef_manip.tif,0.6230898
LG-Nexus-5x,img_0c6cd35_unalt.tif,0.64488506
Samsung-Galaxy-S4,img_124561f_manip.tif,0.8647268
Motorola-X,img_bdd0d6d_unalt.tif,0.28896967
Motorola-X,img_83c8990_manip.tif,0.44831425
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,0.99941903
iPhone-6,img_c330a00_manip.tif,0.99985
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,0.50184447
LG-Nexus-5x,img_465c9f7_unalt.tif,0.43346548
Sony-NEX-7,img_b2fc8ee_unalt.tif,0.4893517
Samsung-Galaxy-Note3,img_0519a00_manip.tif,0.4482089
HTC-1-M7,img_c72eb3d_unalt.tif,0.36527506
LG-Nexus-5x,img_831a719_manip.tif,0.6203548
Samsung-Galaxy-S4,img_aa39291_unalt.tif,0.95755893
LG-Nexus-5x,img_b841ed4_unalt.tif,0.3622877
Motorola-Nexus-6,img_ae09094_manip.tif,0.9942708
LG-Nexus-5x,img_d83300a_manip.tif,0.21196409
LG-Nexus-5x,img_490b339_unalt.tif,0.46106744
Motorola-Droid-Maxx,img_241fff5_manip.tif,0.8913801
Samsung-Galaxy-Note3,img_2c61382_manip.tif,0.7295202
Samsung-Galaxy-S4,img_a40ff5d_manip.tif,0.3410781
iPhone-6,img_5e12a0f_unalt.tif,0.9829371
HTC-1-M7,img_d08048c_manip.tif,0.76637363
Samsung-Galaxy-S4,img_3454c93_manip.tif,0.53925383
iPhone-6,img_d27555d_unalt.tif,0.9771038
LG-Nexus-5x,img_fad2ca3_manip.tif,0.7307225
iPhone-6,img_03a345c_unalt.tif,0.9997644
Motorola-Droid-Maxx,img_1eb9d8f_manip.tif,0.68022454
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,0.98269963
Samsung-Galaxy-S4,img_969c428_unalt.tif,0.98156106
Motorola-Nexus-6,img_03cc69f_manip.tif,0.79584616
Samsung-Galaxy-Note3,img_5fc0927_unalt.tif,0.9310278
LG-Nexus-5x,img_86c0230_unalt.tif,0.30728212
Samsung-Galaxy-Note3,img_59df69b_manip.tif,0.8613949
Samsung-Galaxy-Note3,img_8af5c06_manip.tif,0.2927484
HTC-1-M7,img_7815efc_manip.tif,0.3038465
Sony-NEX-7,img_68fa833_manip.tif,0.7254745
iPhone-6,img_493e7b8_manip.tif,0.60439074
HTC-1-M7,img_d051492_unalt.tif,0.99116343
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,0.99941707
iPhone-6,img_d412884_unalt.tif,0.85961246
Samsung-Galaxy-Note3,img_4e771ae_manip.tif,0.79118615
HTC-1-M7,img_8b06202_manip.tif,0.91889495
Motorola-Nexus-6,img_ad2ce6f_manip.tif,0.97509795
Motorola-X,img_d6db46a_unalt.tif,0.9635923
LG-Nexus-5x,img_1ac7c07_unalt.tif,0.6257075
Motorola-X,img_9e53455_manip.tif,0.4790814
HTC-1-M7,img_f051a55_unalt.tif,0.99716645
HTC-1-M7,img_c9f2d18_unalt.tif,0.91997856
HTC-1-M7,img_265c7fb_unalt.tif,0.99141634
Sony-NEX-7,img_1e3967e_unalt.tif,0.9961629
HTC-1-M7,img_87672aa_manip.tif,0.9297009
HTC-1-M7,img_948b119_manip.tif,0.3094273
Samsung-Galaxy-S4,img_78f3a46_unalt.tif,0.8821008
Motorola-Droid-Maxx,img_d56f447_manip.tif,0.9999536
HTC-1-M7,img_38de800_unalt.tif,0.9961829
Samsung-Galaxy-S4,img_5254e45_manip.tif,0.7366235
Motorola-X,img_43c0c0a_unalt.tif,0.8072722
Samsung-Galaxy-Note3,img_7d1d284_unalt.tif,0.50390476
Sony-NEX-7,img_e247e1f_manip.tif,0.3391814
iPhone-6,img_1b0ff49_manip.tif,0.99937266
Samsung-Galaxy-S4,img_c364183_unalt.tif,0.9960296
Motorola-Droid-Maxx,img_f0237a8_manip.tif,0.99800104
Motorola-Droid-Maxx,img_315d3e9_manip.tif,0.96954364
Samsung-Galaxy-Note3,img_5294c7c_unalt.tif,0.9984579
iPhone-6,img_985ce59_manip.tif,0.9959022
HTC-1-M7,img_ca3075b_manip.tif,0.32865795
Motorola-Droid-Maxx,img_c8af975_manip.tif,0.99803936
iPhone-4s,img_7fcba00_manip.tif,0.7762594
Motorola-Nexus-6,img_e08ccfb_unalt.tif,0.99524385
Motorola-X,img_3428729_manip.tif,0.74539334
Motorola-X,img_3564f61_unalt.tif,0.70513284
iPhone-6,img_2af26d1_unalt.tif,0.9871493
HTC-1-M7,img_4c7e819_manip.tif,0.9916095
Motorola-X,img_bd30be8_unalt.tif,0.88071066
HTC-1-M7,img_57a1782_manip.tif,0.40188074
Motorola-X,img_cf9627c_manip.tif,0.60330147
LG-Nexus-5x,img_04f3d0d_manip.tif,0.4184348
HTC-1-M7,img_f5652a7_manip.tif,0.9987388
Motorola-X,img_9b9944f_manip.tif,0.47017798
Motorola-X,img_4eb170f_manip.tif,0.96918887
Motorola-X,img_37066f9_manip.tif,0.9833481
Samsung-Galaxy-Note3,img_a02f8c2_manip.tif,0.44518968
Samsung-Galaxy-Note3,img_ec67b1a_manip.tif,0.64037776
Motorola-X,img_ae6f9eb_unalt.tif,0.5072174
Samsung-Galaxy-Note3,img_68dedee_manip.tif,0.40749526
Motorola-Nexus-6,img_1fb48da_manip.tif,0.38292208
Sony-NEX-7,img_c87297a_unalt.tif,0.8288187
HTC-1-M7,img_28dfa3c_manip.tif,0.5492755
Samsung-Galaxy-Note3,img_e8a6683_unalt.tif,0.95046407
iPhone-6,img_b193d35_manip.tif,0.2418967
Motorola-Nexus-6,img_4d7be4c_unalt.tif,0.783264
Motorola-Droid-Maxx,img_a324c2c_unalt.tif,0.9999715
Motorola-Droid-Maxx,img_308a4ca_unalt.tif,0.50964713
iPhone-6,img_6dbfe1c_manip.tif,0.74882555
Motorola-Nexus-6,img_f9a19bf_manip.tif,0.5506411
Sony-NEX-7,img_d5cad73_unalt.tif,0.9842711
Motorola-Nexus-6,img_f2c1ae9_unalt.tif,0.26627728
Samsung-Galaxy-S4,img_0e1d30e_unalt.tif,0.9938998
LG-Nexus-5x,img_11ffca0_manip.tif,0.5369845
Motorola-Droid-Maxx,img_434bf52_manip.tif,0.51356
iPhone-6,img_3e0cb3e_unalt.tif,0.998563
LG-Nexus-5x,img_da3a88c_unalt.tif,0.41279277
Samsung-Galaxy-Note3,img_07946c1_manip.tif,0.9034393
LG-Nexus-5x,img_d30e30f_unalt.tif,0.58828896
LG-Nexus-5x,img_f18cd0d_unalt.tif,0.7161404
LG-Nexus-5x,img_95c7361_unalt.tif,0.46900994
Samsung-Galaxy-Note3,img_2577ec5_manip.tif,0.45059836
iPhone-6,img_4c1389e_unalt.tif,0.99926484
LG-Nexus-5x,img_4b13a36_manip.tif,0.27468678
Motorola-Droid-Maxx,img_b6c00ea_manip.tif,0.7569989
Motorola-X,img_5300cbc_manip.tif,0.58314204
iPhone-6,img_69e3002_manip.tif,0.9943206
Motorola-Droid-Maxx,img_6255cc1_unalt.tif,0.92652494
Samsung-Galaxy-Note3,img_0561393_manip.tif,0.2154569
