camera,fname,prob
iPhone-6,img_07dac13_unalt.tif,1.3797297
Motorola-Droid-Maxx,img_eee5932_unalt.tif,1.263473
LG-Nexus-5x,img_79e215d_manip.tif,1.3361883
LG-Nexus-5x,img_138b862_manip.tif,1.337446
Samsung-Galaxy-Note3,img_141c6fd_unalt.tif,1.3794503
Motorola-Droid-Maxx,img_c3cf6df_unalt.tif,1.3797296
Motorola-X,img_8b9e163_manip.tif,1.3315843
iPhone-6,img_38a9334_manip.tif,1.3796988
Motorola-X,img_398df1c_manip.tif,1.3797019
HTC-1-M7,img_384985e_manip.tif,1.3705518
HTC-1-M7,img_602aa73_manip.tif,1.3796384
Motorola-Nexus-6,img_6b082bf_manip.tif,1.377625
Motorola-Droid-Maxx,img_03c0533_unalt.tif,1.3797293
Motorola-Droid-Maxx,img_3bf0d44_unalt.tif,1.3797294
Motorola-X,img_b25b81e_unalt.tif,1.3795184
Samsung-Galaxy-S4,img_f2b9803_unalt.tif,1.3661742
LG-Nexus-5x,img_2360f84_unalt.tif,1.2378914
Samsung-Galaxy-Note3,img_9ef5eba_manip.tif,1.3639433
iPhone-6,img_52ba50e_manip.tif,1.3797295
Motorola-X,img_6cfa280_manip.tif,1.3796849
Samsung-Galaxy-Note3,img_ac620ba_manip.tif,1.3797277
Motorola-Nexus-6,img_d32f7ac_manip.tif,1.3796998
Motorola-X,img_8bda34b_manip.tif,1.3601142
LG-Nexus-5x,img_4df3673_manip.tif,1.2411911
LG-Nexus-5x,img_5e88d06_unalt.tif,1.3788693
iPhone-6,img_508a0bf_unalt.tif,1.3797293
iPhone-4s,img_c2a0c84_unalt.tif,1.1322106
Sony-NEX-7,img_4032813_unalt.tif,1.3797266
Motorola-Droid-Maxx,img_869b06d_manip.tif,1.3796058
HTC-1-M7,img_023b9c2_manip.tif,1.3797224
LG-Nexus-5x,img_b90c009_unalt.tif,1.3256977
Motorola-Nexus-6,img_22f6746_unalt.tif,1.3712935
iPhone-6,img_cef577b_unalt.tif,1.3797297
Samsung-Galaxy-S4,img_e58abc0_manip.tif,1.37587
HTC-1-M7,img_00885c3_manip.tif,1.3797295
Motorola-Droid-Maxx,img_55e9efa_unalt.tif,1.3783138
Sony-NEX-7,img_4ede096_manip.tif,1.1869371
Motorola-X,img_878e802_unalt.tif,1.3797295
iPhone-6,img_4ef67b5_unalt.tif,1.2172217
Motorola-Nexus-6,img_467a3e0_manip.tif,1.2950153
Samsung-Galaxy-Note3,img_a692042_manip.tif,1.3797274
Motorola-X,img_d618d4f_unalt.tif,1.2848598
LG-Nexus-5x,img_0c6cd35_unalt.tif,1.3770434
HTC-1-M7,img_7487183_manip.tif,1.3797292
Motorola-X,img_1cdb2ef_manip.tif,1.1681929
Samsung-Galaxy-S4,img_124561f_manip.tif,1.3797152
Motorola-Nexus-6,img_83c8990_manip.tif,1.199134
Samsung-Galaxy-S4,img_e83c9d8_manip.tif,1.3790565
LG-Nexus-5x,img_bdd0d6d_unalt.tif,1.2074351
iPhone-6,img_c330a00_manip.tif,1.3797295
Sony-NEX-7,img_b2fc8ee_unalt.tif,1.3793391
Samsung-Galaxy-S4,img_2c1ecb4_manip.tif,1.3722951
LG-Nexus-5x,img_465c9f7_unalt.tif,1.356523
Samsung-Galaxy-Note3,img_0519a00_manip.tif,1.3793236
Samsung-Galaxy-S4,img_aa39291_unalt.tif,1.3793781
iPhone-6,img_c72eb3d_unalt.tif,1.3250198
LG-Nexus-5x,img_831a719_manip.tif,1.3703341
Motorola-Nexus-6,img_ae09094_manip.tif,1.3797289
LG-Nexus-5x,img_b841ed4_unalt.tif,1.1868663
Samsung-Galaxy-Note3,img_490b339_unalt.tif,1.37286
Motorola-Droid-Maxx,img_241fff5_manip.tif,1.2776164
LG-Nexus-5x,img_d83300a_manip.tif,1.3619123
HTC-1-M7,img_d08048c_manip.tif,1.3505292
Samsung-Galaxy-Note3,img_2c61382_manip.tif,1.3719767
Samsung-Galaxy-S4,img_3454c93_manip.tif,1.2148956
iPhone-6,img_d27555d_unalt.tif,1.3797264
Samsung-Galaxy-Note3,img_a40ff5d_manip.tif,1.2024257
LG-Nexus-5x,img_1eb9d8f_manip.tif,1.2410109
iPhone-6,img_03a345c_unalt.tif,1.3797297
LG-Nexus-5x,img_fad2ca3_manip.tif,1.3790672
iPhone-6,img_5e12a0f_unalt.tif,1.3797271
Samsung-Galaxy-S4,img_b9d156a_unalt.tif,1.3797295
Samsung-Galaxy-S4,img_969c428_unalt.tif,1.3009533
Samsung-Galaxy-Note3,img_5fc0927_unalt.tif,1.3796244
Motorola-Nexus-6,img_03cc69f_manip.tif,1.374518
Samsung-Galaxy-Note3,img_59df69b_manip.tif,1.3797063
LG-Nexus-5x,img_86c0230_unalt.tif,1.3511229
Motorola-Nexus-6,img_8af5c06_manip.tif,1.379729
iPhone-6,img_7815efc_manip.tif,1.2891324
iPhone-6,img_493e7b8_manip.tif,1.3443526
Sony-NEX-7,img_68fa833_manip.tif,1.3790821
HTC-1-M7,img_d051492_unalt.tif,1.3796737
Samsung-Galaxy-S4,img_749a6e2_unalt.tif,1.3797292
HTC-1-M7,img_8b06202_manip.tif,1.3797292
iPhone-6,img_d412884_unalt.tif,1.3796622
Motorola-X,img_d6db46a_unalt.tif,1.3797204
Samsung-Galaxy-Note3,img_4e771ae_manip.tif,1.3797175
Motorola-Nexus-6,img_ad2ce6f_manip.tif,1.3796546
LG-Nexus-5x,img_1ac7c07_unalt.tif,1.3335531
HTC-1-M7,img_f051a55_unalt.tif,1.3797297
iPhone-6,img_9e53455_manip.tif,1.3179061
HTC-1-M7,img_c9f2d18_unalt.tif,1.3791782
HTC-1-M7,img_265c7fb_unalt.tif,1.3797249
Samsung-Galaxy-S4,img_78f3a46_unalt.tif,1.3781009
HTC-1-M7,img_87672aa_manip.tif,1.3759828
Samsung-Galaxy-S4,img_5254e45_manip.tif,1.379343
Sony-NEX-7,img_1e3967e_unalt.tif,1.3797289
HTC-1-M7,img_38de800_unalt.tif,1.3797102
LG-Nexus-5x,img_948b119_manip.tif,1.1116816
Motorola-Droid-Maxx,img_d56f447_manip.tif,1.3797297
LG-Nexus-5x,img_7d1d284_unalt.tif,1.3621229
Sony-NEX-7,img_e247e1f_manip.tif,1.1949517
Motorola-X,img_43c0c0a_unalt.tif,1.3797224
Samsung-Galaxy-S4,img_c364183_unalt.tif,1.3793054
Samsung-Galaxy-Note3,img_5294c7c_unalt.tif,1.3797287
LG-Nexus-5x,img_315d3e9_manip.tif,1.2548748
iPhone-6,img_1b0ff49_manip.tif,1.3797178
Motorola-Droid-Maxx,img_f0237a8_manip.tif,1.379667
iPhone-6,img_ca3075b_manip.tif,1.1467731
iPhone-6,img_985ce59_manip.tif,1.3797294
Motorola-Droid-Maxx,img_c8af975_manip.tif,1.3797251
Motorola-X,img_7fcba00_manip.tif,1.2772803
Motorola-Nexus-6,img_e08ccfb_unalt.tif,1.3797287
Motorola-X,img_3428729_manip.tif,1.3617457
Motorola-X,img_bd30be8_unalt.tif,1.3788941
Motorola-X,img_3564f61_unalt.tif,1.2728388
HTC-1-M7,img_4c7e819_manip.tif,1.3619301
iPhone-6,img_2af26d1_unalt.tif,1.3792768
Samsung-Galaxy-Note3,img_cf9627c_manip.tif,1.3649836
HTC-1-M7,img_57a1782_manip.tif,1.3332984
iPhone-6,img_9b9944f_manip.tif,1.2533303
Motorola-X,img_4eb170f_manip.tif,1.3797231
LG-Nexus-5x,img_04f3d0d_manip.tif,1.3582181
HTC-1-M7,img_f5652a7_manip.tif,1.3791875
LG-Nexus-5x,img_a02f8c2_manip.tif,1.2601938
Motorola-X,img_37066f9_manip.tif,1.3796897
Motorola-X,img_ec67b1a_manip.tif,1.2806304
Motorola-X,img_ae6f9eb_unalt.tif,1.3789315
Motorola-Nexus-6,img_68dedee_manip.tif,1.3795872
LG-Nexus-5x,img_1fb48da_manip.tif,1.3763468
Samsung-Galaxy-Note3,img_e8a6683_unalt.tif,1.3797294
Sony-NEX-7,img_c87297a_unalt.tif,1.2756922
Samsung-Galaxy-S4,img_28dfa3c_manip.tif,1.3157511
