camera,fname,prob
Motorola-Nexus-6,img_0002a04_manip.tif,0.53087
iPhone-4s,img_001e31c_unalt.tif,0.49748033
iPhone-6,img_00275cf_manip.tif,0.99874735
Samsung-Galaxy-S4,img_0034113_unalt.tif,0.99925673
Motorola-X,img_00344b7_unalt.tif,0.9655113
Motorola-X,img_0062ce8_manip.tif,0.7044714
HTC-1-M7,img_00885c3_manip.tif,0.9973725
HTC-1-M7,img_008a869_unalt.tif,0.99991477
iPhone-4s,img_008fb06_manip.tif,0.5786325
Motorola-Nexus-6,img_00c98af_manip.tif,0.5467558
Motorola-X,img_00d0e3b_unalt.tif,0.9966322
HTC-1-M7,img_00e097a_manip.tif,0.85364294
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9275998
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.9997455
iPhone-4s,img_011d3a0_manip.tif,0.7844887
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.88498574
Motorola-Droid-Maxx,img_015b7e6_manip.tif,0.361909
HTC-1-M7,img_017184c_unalt.tif,0.942887
Sony-NEX-7,img_0184cda_unalt.tif,0.99879134
LG-Nexus-5x,img_0197115_manip.tif,0.23962167
iPhone-4s,img_020ef15_manip.tif,0.696152
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9951606
HTC-1-M7,img_023b9c2_manip.tif,0.91384995
HTC-1-M7,img_0264c88_unalt.tif,0.9999299
Sony-NEX-7,img_026bb24_manip.tif,0.6386371
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.70095986
Samsung-Galaxy-S4,img_02f62d5_manip.tif,0.99994725
iPhone-6,img_0353f58_unalt.tif,0.9999998
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.66993356
iPhone-4s,img_0359c73_manip.tif,0.99827445
iPhone-4s,img_0390cee_unalt.tif,0.95416737
iPhone-6,img_03a345c_unalt.tif,0.99999964
iPhone-4s,img_03bb7cf_manip.tif,0.52277976
