camera,fname,prob
Motorola-Nexus-6,img_0002a04_manip.tif,0.45455194
iPhone-4s,img_001e31c_unalt.tif,0.5349539
iPhone-6,img_00275cf_manip.tif,0.9996066
Samsung-Galaxy-S4,img_0034113_unalt.tif,0.9994167
Motorola-X,img_00344b7_unalt.tif,0.9653761
Motorola-X,img_0062ce8_manip.tif,0.63073534
HTC-1-M7,img_00885c3_manip.tif,0.997581
HTC-1-M7,img_008a869_unalt.tif,0.99991894
iPhone-4s,img_008fb06_manip.tif,0.56128293
Motorola-Nexus-6,img_00c98af_manip.tif,0.5070838
Motorola-X,img_00d0e3b_unalt.tif,0.99891347
HTC-1-M7,img_00e097a_manip.tif,0.84869224
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9136031
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.9997236
iPhone-4s,img_011d3a0_manip.tif,0.8189362
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.88993216
Motorola-Droid-Maxx,img_015b7e6_manip.tif,0.4173425
HTC-1-M7,img_017184c_unalt.tif,0.92681247
Sony-NEX-7,img_0184cda_unalt.tif,0.9987922
Motorola-Droid-Maxx,img_0197115_manip.tif,0.2605485
iPhone-4s,img_020ef15_manip.tif,0.6846576
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9952084
HTC-1-M7,img_023b9c2_manip.tif,0.8867012
HTC-1-M7,img_0264c88_unalt.tif,0.99992406
Sony-NEX-7,img_026bb24_manip.tif,0.70252603
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.6823248
Samsung-Galaxy-S4,img_02f62d5_manip.tif,0.9999674
iPhone-6,img_0353f58_unalt.tif,0.9999998
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.69729465
iPhone-4s,img_0359c73_manip.tif,0.9985941
iPhone-4s,img_0390cee_unalt.tif,0.9570279
iPhone-6,img_03a345c_unalt.tif,0.9999999
iPhone-4s,img_03bb7cf_manip.tif,0.4801845
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99983513
Motorola-Droid-Maxx,img_03c7c66_manip.tif,0.97266996
Motorola-X,img_03cab56_manip.tif,0.85389864
iPhone-4s,img_03cc69f_manip.tif,0.9642002
Samsung-Galaxy-Note3,img_03e34e4_manip.tif,1.0
Motorola-Droid-Maxx,img_03faa77_manip.tif,0.6598778
Samsung-Galaxy-Note3,img_0432afe_unalt.tif,0.57617646
Samsung-Galaxy-S4,img_04381dd_unalt.tif,0.99997777
Samsung-Galaxy-Note3,img_0456ffb_unalt.tif,0.9968337
Motorola-X,img_0477f29_unalt.tif,0.99996555
Motorola-Nexus-6,img_047e000_unalt.tif,0.9999968
Motorola-Nexus-6,img_04801fb_unalt.tif,0.95805943
iPhone-4s,img_0480de3_unalt.tif,0.98261994
iPhone-4s,img_0486f84_manip.tif,0.972555
Motorola-Droid-Maxx,img_04f3d0d_manip.tif,0.43961048
Motorola-X,img_050d527_manip.tif,0.9992587
Samsung-Galaxy-Note3,img_0513d3f_unalt.tif,0.99993294
Motorola-Droid-Maxx,img_0517193_unalt.tif,0.9999955
Samsung-Galaxy-Note3,img_0519a00_manip.tif,0.9948398
Samsung-Galaxy-S4,img_051d1e0_manip.tif,0.559786
Sony-NEX-7,img_051f3b7_unalt.tif,0.96201694
Samsung-Galaxy-Note3,img_052fb4c_manip.tif,0.97205484
Samsung-Galaxy-Note3,img_0561393_manip.tif,0.58897144
Motorola-Nexus-6,img_058fdeb_unalt.tif,0.9999999
Motorola-Nexus-6,img_05a1af1_manip.tif,0.9867471
iPhone-6,img_05c52d2_manip.tif,0.999956
Sony-NEX-7,img_05eb1a4_unalt.tif,0.9984614
iPhone-6,img_0609bc8_unalt.tif,0.9949514
Samsung-Galaxy-S4,img_0616e78_unalt.tif,0.99857664
iPhone-4s,img_061e65b_manip.tif,0.99679345
