camera,fname,prob
Motorola-Nexus-6,img_0002a04_manip.tif,0.454552
iPhone-4s,img_001e31c_unalt.tif,0.534954
iPhone-6,img_00275cf_manip.tif,0.99960667
Samsung-Galaxy-S4,img_0034113_unalt.tif,0.9994166
Motorola-X,img_00344b7_unalt.tif,0.965376
Motorola-X,img_0062ce8_manip.tif,0.63073534
HTC-1-M7,img_00885c3_manip.tif,0.9975809
HTC-1-M7,img_008a869_unalt.tif,0.9999188
iPhone-4s,img_008fb06_manip.tif,0.5612828
Motorola-Nexus-6,img_00c98af_manip.tif,0.5070837
Motorola-X,img_00d0e3b_unalt.tif,0.9989133
HTC-1-M7,img_00e097a_manip.tif,0.84869206
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9136031
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.99972355
iPhone-4s,img_011d3a0_manip.tif,0.81893647
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.8899321
Motorola-Droid-Maxx,img_015b7e6_manip.tif,0.41734257
HTC-1-M7,img_017184c_unalt.tif,0.9268125
Sony-NEX-7,img_0184cda_unalt.tif,0.9987922
Motorola-Droid-Maxx,img_0197115_manip.tif,0.26054853
iPhone-4s,img_020ef15_manip.tif,0.68465745
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.99520826
HTC-1-M7,img_023b9c2_manip.tif,0.88670105
HTC-1-M7,img_0264c88_unalt.tif,0.99992406
Sony-NEX-7,img_026bb24_manip.tif,0.7025262
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.6823249
Samsung-Galaxy-S4,img_02f62d5_manip.tif,0.99996746
iPhone-6,img_0353f58_unalt.tif,0.99999976
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.6972948
iPhone-4s,img_0359c73_manip.tif,0.9985941
iPhone-4s,img_0390cee_unalt.tif,0.9570279
iPhone-6,img_03a345c_unalt.tif,0.9999998
iPhone-4s,img_03bb7cf_manip.tif,0.48018444
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99983513
Motorola-Droid-Maxx,img_03c7c66_manip.tif,0.97266984
Motorola-X,img_03cab56_manip.tif,0.8538986
iPhone-4s,img_03cc69f_manip.tif,0.96420014
Samsung-Galaxy-Note3,img_03e34e4_manip.tif,1.0
Motorola-Droid-Maxx,img_03faa77_manip.tif,0.65987784
Samsung-Galaxy-Note3,img_0432afe_unalt.tif,0.5761765
Samsung-Galaxy-S4,img_04381dd_unalt.tif,0.99997765
Samsung-Galaxy-Note3,img_0456ffb_unalt.tif,0.9968336
Motorola-X,img_0477f29_unalt.tif,0.9999656
Motorola-Nexus-6,img_047e000_unalt.tif,0.99999666
Motorola-Nexus-6,img_04801fb_unalt.tif,0.95805943
iPhone-4s,img_0480de3_unalt.tif,0.98261976
iPhone-4s,img_0486f84_manip.tif,0.97255516
Motorola-Droid-Maxx,img_04f3d0d_manip.tif,0.43961045
Motorola-X,img_050d527_manip.tif,0.99925876
Samsung-Galaxy-Note3,img_0513d3f_unalt.tif,0.999933
Motorola-Droid-Maxx,img_0517193_unalt.tif,0.99999535
Samsung-Galaxy-Note3,img_0519a00_manip.tif,0.9948398
Samsung-Galaxy-S4,img_051d1e0_manip.tif,0.55978614
Sony-NEX-7,img_051f3b7_unalt.tif,0.96201676
Samsung-Galaxy-Note3,img_052fb4c_manip.tif,0.97205484
Samsung-Galaxy-Note3,img_0561393_manip.tif,0.5889715
Motorola-Nexus-6,img_058fdeb_unalt.tif,0.9999999
Motorola-Nexus-6,img_05a1af1_manip.tif,0.9867468
iPhone-6,img_05c52d2_manip.tif,0.99995595
Sony-NEX-7,img_05eb1a4_unalt.tif,0.99846137
iPhone-6,img_0609bc8_unalt.tif,0.99495137
Samsung-Galaxy-S4,img_0616e78_unalt.tif,0.9985769
iPhone-4s,img_061e65b_manip.tif,0.9967936
Samsung-Galaxy-Note3,img_06435c8_unalt.tif,0.5604373
Motorola-X,img_064c912_manip.tif,0.9979651
Samsung-Galaxy-Note3,img_065a534_unalt.tif,1.0
HTC-1-M7,img_068c372_manip.tif,0.3833322
Motorola-Droid-Maxx,img_06a0a21_unalt.tif,0.4056788
iPhone-6,img_06a4a46_unalt.tif,0.99999833
iPhone-4s,img_06a8da2_unalt.tif,0.989711
Samsung-Galaxy-S4,img_06b9ba0_manip.tif,0.7413885
iPhone-4s,img_06d0df5_manip.tif,0.99847054
Motorola-Droid-Maxx,img_06efe43_manip.tif,0.99701387
Motorola-X,img_07001c5_unalt.tif,0.8043055
HTC-1-M7,img_0714719_unalt.tif,0.9990451
Samsung-Galaxy-Note3,img_071d3e9_manip.tif,0.49741748
Motorola-Droid-Maxx,img_072619c_manip.tif,0.9976663
Samsung-Galaxy-S4,img_076637f_manip.tif,0.9722925
Motorola-Droid-Maxx,img_076fb0d_unalt.tif,0.99999785
Samsung-Galaxy-Note3,img_07946c1_manip.tif,0.9999995
Sony-NEX-7,img_07bb789_unalt.tif,0.9643904
iPhone-6,img_07dac13_unalt.tif,0.9999815
Sony-NEX-7,img_080804b_unalt.tif,0.98081166
iPhone-6,img_083c983_unalt.tif,0.99858147
iPhone-4s,img_0850041_unalt.tif,0.9897953
HTC-1-M7,img_0867a8a_unalt.tif,0.9999978
Motorola-Nexus-6,img_0875b14_manip.tif,0.43697876
iPhone-4s,img_0875b1c_unalt.tif,0.98910874
iPhone-4s,img_08870e3_unalt.tif,0.9997854
Motorola-Nexus-6,img_08d62e8_manip.tif,0.9997302
Sony-NEX-7,img_08f9604_manip.tif,0.99282026
LG-Nexus-5x,img_0907782_manip.tif,0.99671376
Motorola-Nexus-6,img_0912d59_manip.tif,0.9999858
Motorola-Droid-Maxx,img_09423bd_unalt.tif,0.9999826
Samsung-Galaxy-Note3,img_096386d_manip.tif,0.7061322
iPhone-4s,img_09d1836_manip.tif,0.43543828
iPhone-4s,img_0a0022e_manip.tif,0.3278656
Samsung-Galaxy-Note3,img_0a21bdf_manip.tif,0.45001382
Motorola-X,img_0a3162a_unalt.tif,0.9999922
Motorola-X,img_0a85605_unalt.tif,0.99994063
Motorola-Nexus-6,img_0aaf6e4_unalt.tif,0.7027386
Samsung-Galaxy-S4,img_0abb191_unalt.tif,0.99802613
Motorola-Nexus-6,img_0ac09ab_manip.tif,0.6683335
Motorola-Nexus-6,img_0acc754_unalt.tif,1.0
Motorola-Nexus-6,img_0add779_unalt.tif,0.43565202
Samsung-Galaxy-Note3,img_0ae48a7_unalt.tif,0.35983464
Sony-NEX-7,img_0ae86dd_manip.tif,0.87944937
iPhone-6,img_0af4522_manip.tif,0.38721567
iPhone-4s,img_0b1c4c6_manip.tif,0.34999967
Motorola-X,img_0b38181_manip.tif,0.99987745
iPhone-6,img_0b5b7b3_unalt.tif,0.99997056
Samsung-Galaxy-Note3,img_0b68096_manip.tif,0.37407696
iPhone-6,img_0b95b66_manip.tif,0.99848545
HTC-1-M7,img_0b9b529_unalt.tif,0.9999894
Samsung-Galaxy-Note3,img_0ba3d8f_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0bc68cc_manip.tif,0.95550174
Samsung-Galaxy-S4,img_0bdb428_unalt.tif,0.9995967
Motorola-Nexus-6,img_0bdc6ce_unalt.tif,0.99999577
Samsung-Galaxy-S4,img_0c12a90_manip.tif,0.9965787
Samsung-Galaxy-S4,img_0c5bfb7_unalt.tif,0.9986278
iPhone-4s,img_0c6cd35_unalt.tif,0.99256164
Motorola-Nexus-6,img_0c6d42f_manip.tif,0.90701014
Sony-NEX-7,img_0c983bc_manip.tif,0.44740418
HTC-1-M7,img_0ca750b_unalt.tif,0.9447258
Motorola-X,img_0cba754_manip.tif,0.9996702
iPhone-4s,img_0d14e4e_unalt.tif,0.99967206
Samsung-Galaxy-Note3,img_0d1b441_unalt.tif,0.9999901
Samsung-Galaxy-Note3,img_0d29390_manip.tif,0.9988008
iPhone-6,img_0d5114d_manip.tif,0.9990672
Motorola-Nexus-6,img_0d53904_unalt.tif,0.9998398
HTC-1-M7,img_0da16b2_manip.tif,0.99955815
LG-Nexus-5x,img_0dac0af_unalt.tif,0.9996209
HTC-1-M7,img_0e02d7c_manip.tif,0.99968815
