camera,fname,prob
Motorola-Nexus-6,img_0002a04_manip.tif,0.60718834
iPhone-4s,img_001e31c_unalt.tif,0.46000648
iPhone-6,img_00275cf_manip.tif,0.997888
Samsung-Galaxy-S4,img_0034113_unalt.tif,0.9990965
Motorola-X,img_00344b7_unalt.tif,0.9656474
Motorola-X,img_0062ce8_manip.tif,0.77820766
HTC-1-M7,img_00885c3_manip.tif,0.99716413
HTC-1-M7,img_008a869_unalt.tif,0.99991035
iPhone-4s,img_008fb06_manip.tif,0.5959819
Motorola-Nexus-6,img_00c98af_manip.tif,0.58642775
Motorola-X,img_00d0e3b_unalt.tif,0.99435085
HTC-1-M7,img_00e097a_manip.tif,0.8585938
LG-Nexus-5x,img_00f61b7_unalt.tif,0.941596
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.99976695
iPhone-4s,img_011d3a0_manip.tif,0.7500406
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.8800393
Motorola-Droid-Maxx,img_015b7e6_manip.tif,0.30647537
HTC-1-M7,img_017184c_unalt.tif,0.95896137
Sony-NEX-7,img_0184cda_unalt.tif,0.9987909
LG-Nexus-5x,img_0197115_manip.tif,0.29572928
iPhone-4s,img_020ef15_manip.tif,0.70764637
Samsung-Galaxy-Note3,img_0211120_unalt.tif,1.0
HTC-1-M7,img_021470b_unalt.tif,0.9951131
HTC-1-M7,img_023b9c2_manip.tif,0.94099814
HTC-1-M7,img_0264c88_unalt.tif,0.9999358
Sony-NEX-7,img_026bb24_manip.tif,0.5747482
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.7195951
Samsung-Galaxy-S4,img_02f62d5_manip.tif,0.9999262
iPhone-6,img_0353f58_unalt.tif,0.9999997
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.6425725
iPhone-4s,img_0359c73_manip.tif,0.99795455
iPhone-4s,img_0390cee_unalt.tif,0.9513066
iPhone-6,img_03a345c_unalt.tif,0.9999993
iPhone-4s,img_03bb7cf_manip.tif,0.5653751
Motorola-Droid-Maxx,img_03c0533_unalt.tif,0.99987435
Motorola-Droid-Maxx,img_03c7c66_manip.tif,0.9846941
Motorola-X,img_03cab56_manip.tif,0.7980402
iPhone-4s,img_03cc69f_manip.tif,0.9666109
Samsung-Galaxy-Note3,img_03e34e4_manip.tif,1.0
Motorola-Droid-Maxx,img_03faa77_manip.tif,0.63614386
Samsung-Galaxy-Note3,img_0432afe_unalt.tif,0.64956176
Samsung-Galaxy-S4,img_04381dd_unalt.tif,0.99998283
Samsung-Galaxy-Note3,img_0456ffb_unalt.tif,0.9978349
Motorola-X,img_0477f29_unalt.tif,0.99997914
Motorola-Nexus-6,img_047e000_unalt.tif,0.99999696
Motorola-Nexus-6,img_04801fb_unalt.tif,0.95841455
iPhone-4s,img_0480de3_unalt.tif,0.982742
iPhone-4s,img_0486f84_manip.tif,0.96407497
Motorola-Droid-Maxx,img_04f3d0d_manip.tif,0.45893407
Motorola-X,img_050d527_manip.tif,0.99940276
