camera,fname,prob
LG-Nexus-5x,img_0002a04_manip.tif,0.9993915557861328
iPhone-4s,img_001e31c_unalt.tif,0.9989296793937683
iPhone-6,img_00275cf_manip.tif,0.9999998807907104
Samsung-Galaxy-S4,img_0034113_unalt.tif,1.0
Motorola-X,img_00344b7_unalt.tif,1.0
Motorola-X,img_0062ce8_manip.tif,0.9910627603530884
HTC-1-M7,img_00885c3_manip.tif,1.0
HTC-1-M7,img_008a869_unalt.tif,1.0
iPhone-4s,img_008fb06_manip.tif,0.9999977350234985
Samsung-Galaxy-Note3,img_00c98af_manip.tif,0.9770871996879578
Motorola-X,img_00d0e3b_unalt.tif,0.9999998807907104
Sony-NEX-7,img_00e097a_manip.tif,0.9999978542327881
LG-Nexus-5x,img_00f61b7_unalt.tif,0.9986162185668945
Samsung-Galaxy-Note3,img_010d9d4_unalt.tif,0.9999868869781494
iPhone-4s,img_011d3a0_manip.tif,0.9999977350234985
Samsung-Galaxy-Note3,img_015b5e1_unalt.tif,0.9996551275253296
Samsung-Galaxy-Note3,img_015b7e6_manip.tif,0.46316155791282654
HTC-1-M7,img_017184c_unalt.tif,1.0
Sony-NEX-7,img_0184cda_unalt.tif,0.9999994039535522
LG-Nexus-5x,img_0197115_manip.tif,0.3938429057598114
iPhone-4s,img_020ef15_manip.tif,0.9936100840568542
Samsung-Galaxy-Note3,img_0211120_unalt.tif,0.9999150037765503
HTC-1-M7,img_021470b_unalt.tif,0.9997276663780212
HTC-1-M7,img_023b9c2_manip.tif,0.9999996423721313
HTC-1-M7,img_0264c88_unalt.tif,0.9999996423721313
Sony-NEX-7,img_026bb24_manip.tif,0.9998403787612915
Samsung-Galaxy-Note3,img_02c212b_manip.tif,0.9999758005142212
Samsung-Galaxy-S4,img_02f62d5_manip.tif,1.0
iPhone-6,img_0353f58_unalt.tif,1.0
Samsung-Galaxy-Note3,img_0354baf_manip.tif,0.999996542930603
iPhone-4s,img_0359c73_manip.tif,0.9999992847442627
